crop,area_ha,rainfall,temp_mean,humidity,soil_ph,nitrogen,phosphorus,potassium,ndvi_mean,ndwi_mean,ndmi_mean,yield_prediction,disease_probability,historical_loss,risk_score
soybean,3.71,742.1,28.95,52.0,6.63,227.24,23.28,156.01,0.6973,-0.113,0.2575,3.613,0.059,0.0795,18.36
cotton,9.113,1222.01,26.77,87.41,6.24,276.24,32.65,177.91,0.8107,-0.0331,0.359,2.737,0.235,0.1422,28.68
cotton,4.432,659.35,30.23,75.08,7.57,266.97,26.99,230.97,0.6554,-0.1753,0.0891,2.303,0.3299,0.1718,43.84
rice,9.332,844.97,32.66,65.0,6.82,282.11,29.2,145.2,0.6423,-0.3633,0.0775,5.107,0.0947,0.1666,42.31
wheat,0.955,1244.3,34.97,72.4,6.62,191.65,38.32,217.73,0.7352,-0.16,0.3412,3.885,0.4833,0.3895,68.26
maize,6.692,853.01,23.01,78.95,6.48,289.72,25.78,266.84,0.8513,-0.0128,0.3951,6.293,0.1082,0.0,20.72
wheat,8.878,233.83,26.72,78.06,6.48,255.68,23.24,126.11,0.7504,0.0217,0.4147,4.773,0.4143,0.2559,56.85
cotton,6.505,729.21,26.08,97.52,6.2,267.99,39.3,209.82,0.9336,-0.082,0.2831,2.538,0.1051,0.2106,25.89
maize,1.994,899.76,32.15,56.3,6.51,115.1,13.99,198.25,0.5159,-0.1761,0.2469,5.313,0.1888,0.2367,59.47
wheat,9.478,456.43,30.38,77.17,6.48,228.86,14.25,129.31,0.655,-0.2683,0.2706,4.451,0.262,0.2957,65.07
cotton,1.885,761.11,23.31,53.89,7.04,261.44,11.18,96.72,0.6239,0.0094,0.3196,3.053,0.0628,0.1537,34.16
wheat,5.321,383.55,21.48,70.58,7.74,310.15,21.02,185.23,0.7097,0.0221,0.3282,5.128,0.1062,0.0977,33.46
wheat,7.336,639.41,20.06,58.39,6.07,166.52,37.71,228.17,0.8732,0.1303,0.3705,5.311,0.0452,0.1944,23.11
maize,5.429,842.74,31.36,63.37,7.67,271.22,20.61,200.92,0.681,-0.0258,0.278,6.471,0.4288,0.3112,53.77
chickpea,7.439,431.57,29.69,63.74,8.0,260.36,21.13,169.69,0.6392,-0.0887,0.0244,3.011,0.2643,0.2454,61.76
maize,4.531,355.65,23.43,76.79,6.53,359.16,22.71,211.37,0.8891,-0.0266,0.2939,6.177,0.0811,0.2158,18.12
wheat,4.541,635.22,36.71,76.0,6.28,243.59,17.06,50.0,0.5023,-0.3493,0.0508,3.437,0.4151,0.4283,89.65
maize,3.625,659.56,26.44,66.4,6.44,115.07,23.69,134.69,0.7011,-0.0998,0.3413,6.233,0.1234,0.0469,26.63
chickpea,0.538,599.73,20.96,98.0,7.2,234.43,31.41,179.65,0.7665,0.0759,0.5247,3.155,0.1961,0.0845,27.71
chickpea,8.281,652.52,32.49,80.97,7.87,229.51,24.45,136.51,0.6386,-0.1791,0.2305,2.759,0.3374,0.285,72.89
wheat,2.385,240.45,23.68,80.15,7.47,210.15,25.06,240.21,0.7499,-0.1253,0.2971,4.615,0.1601,0.2029,23.77
maize,0.605,830.34,28.68,65.85,8.2,209.91,35.24,298.06,0.7013,-0.2001,0.0381,5.047,0.1209,0.1688,59.72
maize,2.435,549.96,21.82,53.3,5.62,206.65,21.1,181.55,0.6987,-0.0383,0.3207,6.089,0.0729,0.1526,37.33
soybean,8.372,915.41,18.43,62.9,8.2,286.8,30.16,188.7,0.7459,0.1108,0.4433,3.72,0.052,0.025,29.36
cotton,8.709,457.47,32.5,92.71,7.21,231.4,29.49,135.54,0.6243,-0.3096,0.1034,1.913,0.3158,0.2423,68.51
cotton,4.454,788.67,27.45,68.79,7.29,275.77,20.08,226.73,0.7711,-0.21,0.2818,2.385,0.1092,0.0,27.45
chickpea,7.879,625.64,25.01,67.41,7.15,228.69,31.54,242.64,0.7011,-0.1971,0.2125,2.637,0.214,0.1472,35.86
soybean,1.774,423.03,30.02,77.59,4.81,183.61,33.08,153.13,0.6581,-0.3235,0.138,3.376,0.2224,0.0856,51.96
rice,8.152,687.63,31.78,51.45,8.2,376.77,19.07,253.75,0.6874,-0.2619,0.2188,5.346,0.2417,0.0565,51.19
rice,0.939,679.27,33.37,33.02,6.73,395.09,29.48,153.01,0.8026,-0.2115,0.2611,5.692,0.0414,0.0737,25.5
soybean,5.104,1056.33,28.16,68.2,6.09,450.0,19.73,131.04,0.8194,0.0745,0.4325,3.763,0.4884,0.3381,54.19
cotton,2.536,753.32,23.73,69.54,8.05,263.91,25.17,269.08,0.7177,0.0216,0.1838,2.839,0.1412,0.0878,39.22
soybean,1.195,789.78,27.24,69.22,6.49,111.44,37.13,239.39,0.6335,-0.2145,0.272,3.888,0.2214,0.264,41.49
cotton,3.726,520.0,25.25,74.45,7.04,177.64,33.7,252.86,0.6343,-0.1131,0.1631,2.855,0.1464,0.0701,35.06
soybean,4.648,494.5,27.05,81.93,6.59,200.04,21.16,187.35,0.7688,0.0036,0.3418,3.975,0.3218,0.0908,27.76
chickpea,7.849,558.47,25.7,84.32,5.86,118.77,10.71,210.08,0.7285,0.0735,0.3679,2.681,0.3246,0.2187,52.12
chickpea,5.44,1057.03,28.75,31.72,6.46,314.0,30.72,115.71,0.7066,-0.2653,0.077,2.524,0.0411,0.0633,29.32
wheat,9.057,829.07,20.69,79.38,5.73,176.55,32.08,217.67,0.6833,-0.015,0.4267,5.14,0.0982,0.0302,28.79
soybean,1.055,976.65,28.41,51.21,4.83,153.06,26.13,271.21,0.8946,-0.107,0.3614,3.916,0.0527,0.1756,43.52
chickpea,9.92,982.65,28.35,63.83,6.45,399.65,18.35,267.29,0.7709,-0.1853,0.228,2.66,0.1366,0.2417,30.28
chickpea,7.993,711.41,28.48,62.83,6.05,284.31,33.44,210.1,0.656,-0.1831,0.1849,2.903,0.1804,0.1512,37.1
rice,8.453,438.25,34.44,95.9,6.61,285.84,9.26,295.3,0.7565,-0.2573,0.2572,4.677,0.4084,0.3958,60.1
rice,9.778,590.43,31.9,68.31,5.83,128.94,18.86,260.38,0.4873,-0.2985,0.1776,4.954,0.4076,0.1749,81.41
soybean,6.979,749.61,30.61,56.87,6.27,303.7,23.09,88.97,0.7777,-0.3223,0.0761,3.918,0.0795,0.1794,29.75
maize,7.723,805.4,23.56,78.49,6.35,310.23,32.85,139.28,0.8324,0.0566,0.3631,6.46,0.2154,0.2562,28.28
soybean,6.455,481.42,24.41,45.61,6.65,297.18,25.95,243.12,0.7265,-0.0353,0.278,3.517,0.0278,0.0911,18.98
chickpea,7.224,762.47,25.1,45.51,7.49,325.11,8.81,146.63,0.6983,-0.0446,0.2569,3.231,0.0455,0.14,33.31
rice,8.957,537.21,24.99,69.45,6.58,239.46,10.7,192.66,0.8067,-0.0772,0.155,5.841,0.1022,0.0739,19.16
cotton,9.674,805.48,21.88,62.21,7.5,220.58,21.48,99.32,0.7513,0.0139,0.4173,2.581,0.1004,0.0,37.01
wheat,2.158,703.37,22.03,41.03,6.25,272.08,18.4,226.91,0.7825,-0.2103,0.2419,5.292,0.0182,0.2226,23.26
maize,1.918,636.46,27.64,71.03,5.75,285.15,32.57,282.55,0.7458,-0.1434,0.282,6.377,0.192,0.297,45.04
soybean,6.309,642.58,22.92,72.0,6.7,140.51,31.55,156.57,0.6212,0.1489,0.366,4.042,0.1996,0.1348,28.78
wheat,1.811,785.98,24.73,65.28,6.39,202.24,14.65,217.13,0.5151,-0.118,0.1148,4.716,0.115,0.2909,49.74
maize,5.543,717.17,25.48,59.39,5.48,318.02,20.94,240.79,0.8942,-0.0908,0.261,6.159,0.1407,0.0985,30.06
rice,5.208,502.74,23.38,78.31,5.47,173.17,22.35,140.32,0.6303,0.1247,0.3323,6.049,0.3338,0.239,61.18
wheat,1.236,851.46,33.06,36.86,7.14,277.65,28.86,143.48,0.5737,-0.3177,0.0413,3.89,0.0665,0.1608,49.39
cotton,7.925,852.68,17.71,61.04,5.77,189.72,29.72,157.49,0.7419,0.1531,0.4511,2.671,0.0527,0.0194,26.86
chickpea,5.957,440.07,29.94,60.89,7.09,233.48,32.08,95.6,0.6207,-0.1435,0.241,3.074,0.2049,0.2314,46.57
maize,8.131,460.75,25.01,57.63,7.17,219.87,33.67,201.77,0.7002,-0.0984,0.2113,6.341,0.088,0.2213,25.61
chickpea,2.42,738.15,29.57,65.48,8.2,227.11,14.35,145.62,0.5973,-0.2629,0.1404,2.457,0.1096,0.2212,56.45
wheat,1.575,444.09,20.85,70.17,7.14,235.22,20.74,161.88,0.8066,0.1323,0.4048,5.416,0.1254,0.1011,27.19
maize,7.237,657.07,20.75,60.31,6.54,294.33,24.16,254.14,0.7238,0.0845,0.3094,6.493,0.0585,0.1393,22.96
soybean,7.684,930.64,33.84,63.89,7.39,308.4,15.19,100.89,0.6218,-0.2554,0.0836,2.092,0.2133,0.1116,66.98
chickpea,2.554,528.21,26.12,60.0,7.47,221.4,41.99,162.08,0.6487,-0.1161,0.3731,3.149,0.2531,0.2118,42.6
cotton,3.13,456.9,30.26,60.58,5.7,79.94,42.24,152.27,0.6859,-0.1957,0.1677,2.677,0.1257,0.0748,37.64
chickpea,0.81,825.03,26.05,62.66,6.87,224.31,14.67,168.96,0.7059,-0.0634,0.178,2.803,0.0433,0.0645,28.37
wheat,4.811,290.3,31.56,62.16,7.16,272.17,37.53,121.15,0.499,-0.2949,0.0753,3.729,0.3185,0.2119,70.21
rice,4.965,756.7,29.52,69.28,6.35,267.57,26.71,224.24,0.7646,-0.0559,0.3112,5.606,0.2041,0.3524,34.48
maize,3.851,395.98,22.0,63.9,6.23,392.21,5.0,210.89,0.7863,0.0825,0.4004,6.231,0.0487,0.2489,22.24
cotton,2.897,868.2,17.8,54.57,6.61,303.06,11.4,154.76,0.7136,0.2213,0.2756,2.307,0.0589,0.0618,15.15
chickpea,3.411,533.99,26.49,74.86,6.89,275.82,5.0,198.12,0.7065,-0.1092,0.3036,3.136,0.1611,0.2426,35.32
cotton,9.185,478.2,22.1,82.76,6.28,260.8,46.2,224.88,0.8395,0.0648,0.5117,2.996,0.1652,0.0019,16.51
chickpea,8.944,288.54,23.24,48.76,6.81,234.62,40.2,136.58,0.5011,0.0713,0.3478,2.6,0.0626,0.1824,32.01
cotton,1.172,789.25,24.36,60.59,7.01,205.83,36.98,187.35,0.7085,-0.0709,0.3433,2.912,0.0538,0.0714,21.28
maize,7.653,830.86,34.53,76.21,7.2,250.86,17.7,249.46,0.6118,-0.361,0.2767,4.909,0.3093,0.336,76.74
rice,6.58,150.0,29.73,49.56,7.95,199.29,27.57,137.82,0.6237,-0.3032,0.0385,4.786,0.081,0.0312,49.04
maize,8.153,966.94,30.73,54.31,6.5,268.21,13.7,213.15,0.7358,-0.2245,0.1583,5.824,0.1391,0.2734,42.85
wheat,7.185,556.12,26.64,79.13,7.37,161.52,24.67,191.21,0.6991,0.0001,0.3057,5.358,0.1507,0.1929,31.89
cotton,2.767,645.94,33.07,75.23,6.67,140.52,37.06,177.42,0.5535,-0.3543,0.0296,2.203,0.34,0.1977,50.87
maize,4.472,582.62,25.13,76.3,5.5,365.6,34.11,230.71,0.7366,-0.1115,0.2395,6.337,0.2238,0.0167,35.86
soybean,6.873,533.37,35.22,65.74,6.48,296.29,15.6,171.05,0.754,-0.3456,0.2759,2.748,0.3756,0.2674,71.56
soybean,4.889,884.48,26.1,60.63,6.28,239.98,20.67,143.89,0.7797,-0.1859,0.0658,3.829,0.0457,0.1685,29.3
rice,0.802,633.74,27.64,63.27,6.48,249.98,6.13,169.8,0.6111,-0.2221,0.1605,5.541,0.1308,0.1174,27.64
maize,3.229,582.44,24.05,67.23,6.31,136.28,22.78,223.13,0.8064,-0.1129,0.182,6.038,0.0509,0.1854,28.97
chickpea,6.865,633.24,19.2,38.77,7.3,242.57,29.24,215.82,0.8308,-0.0606,0.3479,2.933,0.0162,0.1382,17.64
chickpea,8.451,459.95,34.0,60.09,7.29,255.34,30.24,137.27,0.7297,-0.4073,0.0721,2.022,0.2208,0.1717,60.79
maize,3.07,749.24,30.82,55.6,6.72,237.33,14.0,234.6,0.7821,-0.2581,0.2102,5.566,0.0835,0.1968,31.23
rice,6.221,622.48,20.87,63.49,5.49,248.41,26.95,101.77,0.7132,0.1548,0.493,6.007,0.2468,0.3199,47.92
maize,6.361,602.77,25.24,75.01,6.37,177.07,41.94,146.72,0.6348,-0.108,0.3338,6.366,0.1547,0.2679,32.07
soybean,1.87,650.39,30.0,47.82,8.1,270.39,24.52,184.13,0.6905,-0.2746,0.1734,4.176,0.1139,0.1079,35.53
cotton,7.937,395.28,26.36,82.7,7.43,246.76,24.95,175.41,0.7121,-0.2045,0.2199,2.4,0.2582,0.0412,28.21
cotton,0.644,826.5,30.36,65.45,7.19,228.26,19.4,212.17,0.8757,-0.0849,0.22,2.419,0.3188,0.1562,41.13
wheat,2.883,453.81,26.46,75.76,6.76,308.18,29.96,212.64,0.7146,-0.0528,0.2544,4.733,0.163,0.0445,17.93
wheat,5.321,492.73,29.38,45.17,7.47,258.24,39.79,214.96,0.6209,-0.157,0.2671,4.822,0.0645,0.1016,33.79
wheat,6.862,541.87,30.53,59.9,6.96,290.0,16.58,129.45,0.6893,-0.3051,0.0432,4.516,0.0374,0.141,44.9
maize,9.105,191.91,23.36,75.13,6.97,341.65,24.56,175.52,0.8376,0.0635,0.3541,6.212,0.1572,0.2682,23.43
soybean,7.386,539.6,36.34,94.35,7.02,246.44,23.57,194.13,0.6403,-0.2094,0.1138,3.159,0.4321,0.3466,85.48
wheat,8.655,605.42,32.45,51.82,6.42,203.93,22.19,256.72,0.7293,-0.3307,0.1381,4.06,0.0659,0.1969,31.58
wheat,2.826,150.0,25.64,81.56,6.5,278.89,20.67,202.58,0.7319,-0.0314,0.2213,4.952,0.1251,0.0371,19.36
wheat,2.719,354.96,27.46,73.42,6.78,270.53,28.76,136.27,0.6689,-0.178,0.2215,4.594,0.2021,0.2564,30.07
cotton,6.004,319.64,23.67,98.0,7.25,106.51,22.25,194.62,0.618,-0.0839,0.2608,2.266,0.2804,0.1241,42.46
wheat,1.222,937.53,21.1,67.59,6.27,350.93,13.13,153.71,0.7451,0.1238,0.2213,5.05,0.0938,0.1678,24.93
soybean,8.965,886.64,32.03,50.4,6.88,288.74,27.72,240.44,0.549,-0.2713,0.2941,4.046,0.1432,0.0873,32.68
wheat,9.275,554.61,22.95,71.44,6.94,390.87,25.84,187.72,0.811,0.0337,0.3181,5.132,0.0965,0.1829,22.18
chickpea,1.32,740.31,26.6,58.48,8.04,220.75,22.44,157.62,0.7575,0.0403,0.186,2.994,0.0926,0.1247,33.56
rice,4.634,343.94,20.39,79.51,6.24,233.88,16.55,221.53,0.7799,0.2029,0.2217,5.463,0.0986,0.1478,28.39
wheat,2.978,377.74,23.86,75.59,5.69,123.93,33.15,155.02,0.7253,0.1163,0.2083,4.938,0.1112,0.0383,30.2
rice,5.1,688.62,28.28,69.25,6.72,238.19,49.5,198.27,0.7766,-0.0333,0.3015,5.902,0.1537,0.0698,14.96
rice,9.527,180.08,26.11,59.79,7.45,261.38,18.35,157.83,0.672,-0.2775,0.3416,5.515,0.1927,0.2527,47.2
maize,3.966,744.29,26.28,86.51,5.74,175.24,16.94,167.75,0.6791,-0.1679,0.1823,6.187,0.168,0.0,38.16
cotton,9.269,617.83,33.18,41.22,7.85,253.86,16.88,125.58,0.7505,-0.333,0.2388,2.624,0.1085,0.1086,45.91
soybean,0.691,365.1,35.11,88.36,8.07,207.3,25.27,54.05,0.4744,-0.2927,0.0659,2.08,0.4977,0.2595,95.78
cotton,9.195,150.0,21.46,67.07,6.36,282.49,18.59,106.68,0.774,0.0066,0.3461,2.568,0.0754,0.0499,25.11
wheat,4.363,841.81,34.21,65.48,6.05,263.88,20.13,151.08,0.6619,-0.1769,0.1149,4.697,0.2524,0.0236,44.32
maize,1.454,770.05,21.82,61.37,6.15,301.67,41.85,122.88,0.6121,0.2546,0.5563,6.536,0.1424,0.2132,37.76
rice,8.218,550.48,23.62,84.44,7.27,180.73,32.21,209.77,0.6731,0.0615,0.3215,5.753,0.2108,0.3243,37.17
rice,7.028,848.07,20.61,76.14,6.64,174.5,26.55,241.0,0.7969,0.1036,0.3551,6.205,0.0758,0.1915,18.82
rice,6.044,413.61,33.41,43.68,7.45,339.71,29.82,50.0,0.7218,-0.2346,0.0593,3.997,0.0766,0.0761,64.06
cotton,7.124,737.48,32.61,79.71,7.02,317.96,15.94,178.58,0.6056,-0.1256,0.1902,1.989,0.2398,0.2046,67.31
wheat,3.569,840.74,28.43,52.87,7.1,300.52,22.9,147.67,0.7262,-0.0992,0.1804,5.006,0.1119,0.1369,28.41
soybean,9.336,576.97,26.45,71.92,6.83,195.71,21.04,156.93,0.7837,-0.0091,0.2518,3.485,0.1556,0.2154,30.38
wheat,8.65,563.99,28.08,88.65,6.34,259.8,24.95,179.47,0.6902,-0.09,0.2849,5.377,0.4435,0.1561,40.87
rice,5.719,537.97,24.11,50.15,8.0,252.25,27.23,238.09,0.787,-0.1249,0.3439,5.74,0.0681,0.1276,23.34
soybean,6.081,820.53,26.85,76.56,6.95,238.14,38.67,194.46,0.6965,-0.1255,0.25,3.746,0.1767,0.0897,25.35
rice,4.744,926.94,31.97,55.44,6.77,189.05,18.79,74.8,0.5715,-0.2123,0.2664,4.742,0.1743,0.1844,64.06
maize,4.694,749.86,37.37,77.27,6.04,206.83,24.42,236.77,0.7494,-0.2188,0.2716,4.295,0.3722,0.5097,81.97
rice,8.416,479.07,27.65,69.91,6.74,297.76,9.83,187.93,0.6881,-0.0171,0.1528,6.151,0.4532,0.0916,40.88
soybean,1.4,643.27,27.81,97.25,6.26,197.04,24.41,267.77,0.6923,-0.073,0.1885,4.181,0.2021,0.0686,22.01
cotton,6.724,322.4,22.56,69.37,5.13,359.69,23.2,110.28,0.6826,-0.0365,0.2466,2.226,0.0968,0.0415,42.29
rice,4.738,863.7,28.66,80.9,7.35,243.2,25.64,233.37,0.607,-0.1798,0.1338,4.947,0.1925,0.1253,45.94
wheat,9.384,699.31,33.94,74.84,6.46,217.35,24.83,237.48,0.7761,-0.3226,0.2358,4.059,0.3533,0.156,55.14
maize,5.402,864.56,25.07,60.94,7.28,265.18,18.62,135.16,0.7216,0.0507,0.3412,6.388,0.112,0.0221,26.6
cotton,5.586,889.78,25.68,58.33,7.43,199.88,5.0,290.65,0.635,-0.1423,0.3873,2.69,0.3253,0.1417,40.0
chickpea,7.077,578.52,38.39,76.1,6.45,239.69,34.13,188.18,0.7088,-0.5019,0.156,1.584,0.3571,0.4704,77.67
maize,0.962,805.26,28.08,56.15,5.37,173.69,31.82,264.95,0.7701,0.003,0.158,6.798,0.0831,0.085,31.01
chickpea,3.984,595.0,25.55,37.02,7.36,304.93,10.69,114.51,0.667,-0.2411,0.2942,3.249,0.0629,0.1247,34.33
chickpea,2.735,426.42,21.58,62.03,6.26,160.08,29.54,183.09,0.6961,-0.0162,0.4433,3.244,0.1275,0.1132,23.33
