crop,area_ha,rainfall,rainfall_7d,rainfall_30d,temp_mean,temp_max,temp_min,humidity,wind_speed,soil_ph,nitrogen,phosphorus,potassium,organic_carbon,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndwi_mean,ndwi_min,ndwi_max,ndmi_mean,ndmi_min,ndmi_max,growth_stage,sowing_delay_days,heat_stress_days,excessive_rainfall_index,disease_probability,historical_loss,yield_prediction,risk_score
maize,7.687,641.7,11.89,437.63,35.62,43.7,29.78,65.72,11.72,7.47,206.44,14.8,159.77,0.796,0.605,0.4613,0.7516,0.0731,-0.3556,-0.4769,-0.2121,0.2497,0.1539,0.3074,2,8.13,8.7,0.0,0.27,0.3142,2.649,81.48
chickpea,5.462,524.82,13.69,626.97,27.06,33.45,18.45,62.2,21.19,6.77,274.66,39.17,150.52,0.309,0.7557,0.6378,0.9357,0.1036,-0.1293,-0.2004,-0.0547,0.2435,0.122,0.3848,2,-8.72,0.0,0.0,0.077,0.0858,1.675,13.96
wheat,6.581,437.05,34.03,366.53,19.96,28.68,18.57,61.7,6.3,6.28,112.4,20.69,141.76,0.751,0.7728,0.605,0.9351,0.1044,-0.0146,-0.1111,0.0395,0.3139,0.243,0.4833,5,2.22,0.0,0.0,0.0466,0.0,4.593,27.5
maize,1.552,956.47,33.24,857.73,31.5,37.99,23.35,46.45,20.03,6.27,201.62,31.9,138.45,0.948,0.6075,0.3546,0.7542,0.0643,-0.2022,-0.381,-0.1448,0.2226,0.1487,0.2842,3,0.06,2.99,0.0,0.2244,0.3632,3.72,53.8
chickpea,4.912,661.3,5.21,713.32,23.59,28.94,21.22,45.91,15.45,7.58,254.2,17.08,168.21,0.828,0.7523,0.5987,0.869,0.0835,-0.0336,-0.1191,0.135,0.3211,0.2682,0.4239,1,-0.74,0.0,0.0,0.0429,0.0463,1.551,21.44
wheat,6.978,908.99,35.77,997.87,22.49,30.38,14.46,80.2,5.26,7.56,260.25,25.91,186.92,0.938,0.6761,0.5395,0.7974,0.0981,0.0952,0.0179,0.2308,0.355,0.2988,0.5158,4,5.76,0.0,0.0,0.1833,0.2923,4.323,43.05
wheat,0.784,409.96,51.4,375.81,29.33,39.27,24.45,71.71,23.38,7.56,254.85,7.58,153.29,0.878,0.7695,0.5857,0.9285,0.1071,-0.2621,-0.4564,-0.1515,0.2879,0.2151,0.3684,4,-2.03,4.27,0.0,0.1645,0.1403,4.342,51.65
chickpea,9.938,839.9,21.35,841.97,27.73,27.51,18.52,45.48,16.12,6.71,225.0,25.49,119.15,0.541,0.5396,0.2775,0.6265,0.0748,-0.2656,-0.3399,-0.1856,0.2981,0.1198,0.4616,3,6.92,0.0,0.0,0.1586,0.0992,1.354,42.77
chickpea,6.517,760.15,17.52,637.88,26.9,34.2,21.58,41.79,18.4,7.58,320.22,17.22,221.61,0.778,0.7368,0.5056,0.8401,0.1127,-0.2031,-0.262,-0.13,0.295,0.1569,0.4423,2,4.59,0.0,0.0,0.0678,0.0179,1.365,17.57
wheat,6.458,1122.77,37.95,1302.11,31.17,37.87,23.42,60.41,13.94,6.9,326.35,16.7,120.33,0.15,0.6795,0.5526,0.8706,0.1087,-0.1557,-0.3481,-0.0709,0.1784,0.081,0.3088,1,7.89,2.87,0.0,0.0937,0.0994,3.714,38.0
wheat,6.185,669.09,15.09,730.79,28.09,37.34,22.25,74.83,15.4,7.12,223.0,37.21,135.37,1.143,0.7358,0.535,0.9268,0.0804,-0.1694,-0.2709,-0.058,0.3611,0.2911,0.5401,5,13.92,2.34,0.0,0.1445,0.2768,4.313,30.49
cotton,4.213,962.15,32.08,995.62,34.99,44.36,28.02,78.26,20.79,6.39,290.06,25.42,131.08,1.079,0.5837,0.3081,0.7286,0.0827,-0.2215,-0.3561,-0.166,0.0696,-0.0717,0.2187,2,5.2,9.36,0.0,0.3052,0.1906,0.1,81.98
chickpea,7.207,829.06,66.57,916.53,24.56,29.24,18.27,80.97,14.53,7.08,244.33,18.54,243.06,1.057,0.6425,0.485,0.7226,0.0903,0.0227,-0.1507,0.1308,0.3382,0.275,0.5063,2,13.9,0.0,0.0,0.3177,0.2651,1.254,40.65
maize,5.591,876.14,36.29,1009.51,34.12,39.54,22.53,42.59,14.01,6.82,152.51,32.85,221.85,0.71,0.6329,0.3932,0.7641,0.0758,-0.2478,-0.3758,-0.0862,0.0994,0.0386,0.21,4,12.48,4.54,0.0,0.1339,0.1941,2.959,41.37
soybean,9.861,1169.35,37.39,1320.82,32.13,35.83,27.3,59.59,19.05,5.85,386.74,36.3,211.72,0.601,0.72,0.6018,0.8643,0.0431,-0.25,-0.3974,-0.0831,0.2212,0.0455,0.3196,5,-4.72,0.83,0.0,0.1415,0.0714,1.453,27.4
maize,2.792,691.08,26.14,683.4,29.73,35.36,22.33,71.13,19.08,7.3,328.08,34.37,177.73,0.657,0.702,0.589,0.8136,0.0926,-0.1,-0.2854,0.0896,0.2051,0.0288,0.3346,3,4.62,0.36,0.0,0.2395,0.1764,4.137,34.55
cotton,2.885,836.69,28.99,708.85,30.86,35.23,23.48,71.4,15.92,5.12,249.25,17.75,164.33,0.792,0.7768,0.5588,0.8743,0.1411,-0.2047,-0.2772,-0.1337,0.3334,0.1827,0.4688,4,15.42,0.23,0.0,0.2074,0.2594,0.462,49.01
maize,5.941,1023.24,43.36,671.72,32.36,38.88,28.4,53.34,8.83,7.33,302.65,9.77,189.69,1.041,0.7371,0.6322,0.9003,0.1063,-0.2212,-0.3409,-0.164,0.2228,0.1609,0.3599,4,-0.7,3.88,0.0,0.1744,0.1412,3.614,42.76
soybean,8.748,183.19,47.41,209.88,29.16,36.61,23.2,64.79,18.73,7.45,164.54,26.59,189.53,1.225,0.6014,0.403,0.7554,0.1401,-0.1425,-0.2802,0.0518,0.2553,0.1882,0.4243,1,-7.44,1.61,0.0,0.2575,0.1773,0.923,55.35
wheat,3.513,504.66,45.58,468.01,30.18,36.69,19.65,91.59,26.7,7.07,124.7,5.0,137.68,0.994,0.6721,0.4699,0.8545,0.0322,-0.1691,-0.224,0.0266,0.3327,0.1999,0.4117,2,4.73,1.69,0.0,0.4096,0.1415,4.417,57.79
maize,3.51,410.14,35.82,449.81,31.62,37.48,24.38,65.03,16.11,5.95,309.44,31.89,285.22,0.631,0.5796,0.3896,0.6673,0.1216,-0.1308,-0.2891,0.0009,0.2435,0.069,0.3127,3,2.05,2.48,0.0,0.291,0.2599,3.996,64.88
maize,2.33,818.86,50.08,882.93,25.04,30.12,17.01,43.03,18.97,7.39,307.82,16.68,287.22,0.768,0.8622,0.6551,1.0,0.1179,-0.107,-0.21,0.0857,0.3031,0.2165,0.4683,3,5.6,0.0,0.0,0.043,0.0,4.428,18.08
cotton,5.03,734.74,16.68,514.02,18.17,26.81,10.52,62.95,27.6,5.64,209.07,11.95,228.86,0.344,0.7689,0.5858,0.9262,0.0975,0.1048,-0.0829,0.1605,0.3524,0.2155,0.498,1,-2.3,0.0,0.0,0.0819,0.218,0.896,41.06
wheat,4.174,776.97,30.27,760.49,35.57,44.03,29.84,66.36,15.58,6.87,226.34,25.95,226.21,0.15,0.615,0.3606,0.733,0.0671,-0.3719,-0.5623,-0.3079,0.191,0.1115,0.3589,3,1.34,9.03,0.0,0.301,0.3661,3.571,72.03
soybean,7.594,929.75,40.48,754.05,18.56,22.0,9.14,81.14,6.89,7.97,138.03,25.47,218.12,1.357,0.5682,0.4255,0.7001,0.0595,0.2634,0.2042,0.3697,0.3686,0.1957,0.5405,3,3.73,0.0,0.0,0.248,0.1627,1.342,58.92
wheat,1.963,960.5,46.48,900.65,34.89,43.56,29.55,61.5,18.79,7.28,273.44,39.74,219.75,0.818,0.5851,0.3297,0.6763,0.052,-0.2637,-0.4379,-0.0712,0.2117,0.0986,0.3826,5,16.12,8.56,0.0,0.2962,0.3136,3.048,69.19
soybean,7.614,592.81,15.56,676.26,32.23,39.6,23.72,83.79,9.71,7.1,299.17,25.48,223.15,0.366,0.7858,0.6046,0.9442,0.0634,-0.3022,-0.3713,-0.1591,0.2108,0.1117,0.2732,5,6.08,4.6,0.0,0.2394,0.2511,1.501,49.13
rice,9.612,969.82,40.29,989.72,24.63,30.98,18.12,65.58,29.28,6.27,353.03,9.92,214.24,0.443,0.6464,0.5002,0.8214,0.1075,-0.0041,-0.1923,0.1241,0.4198,0.3225,0.5443,1,2.66,0.0,0.0,0.2487,0.0033,3.988,25.33
soybean,2.452,871.92,28.27,962.72,23.43,28.66,17.27,61.7,7.7,7.32,232.67,12.16,302.98,0.957,0.8541,0.6073,1.0,0.1124,-0.0658,-0.1293,0.0168,0.3989,0.2289,0.5498,4,-0.16,0.0,0.0,0.0778,0.2763,1.909,26.99
maize,3.382,394.24,10.0,330.56,32.06,38.91,23.85,65.3,20.08,6.2,110.95,29.61,270.65,0.794,0.7552,0.5597,0.8607,0.106,-0.2474,-0.3413,-0.1508,0.1378,0.0556,0.2671,5,8.49,3.91,0.0,0.0969,0.1022,3.357,33.09
cotton,1.957,637.66,14.41,620.05,33.96,41.05,25.55,79.56,13.9,6.02,318.06,30.5,177.77,0.628,0.6723,0.3768,0.7796,0.1095,-0.3838,-0.4866,-0.2059,0.1696,0.0439,0.2299,1,7.52,6.05,0.0,0.267,0.296,0.797,61.13
wheat,6.382,688.74,50.88,836.99,28.55,34.23,21.18,76.13,12.89,6.53,195.78,17.84,338.75,0.922,0.7249,0.4633,0.9096,0.08,-0.1393,-0.2493,-0.007,0.2393,0.1659,0.4086,5,3.85,0.0,0.0,0.202,0.1641,4.627,30.63
maize,8.444,598.33,17.71,407.5,31.71,42.15,24.68,65.21,17.08,6.27,164.86,17.49,176.3,0.371,0.6705,0.3738,0.7937,0.0764,-0.3392,-0.3975,-0.2212,0.1533,-0.0042,0.2538,5,-4.88,7.15,0.0,0.1521,0.1772,3.233,60.64
chickpea,8.25,474.72,1.41,372.79,28.09,38.07,22.0,48.08,12.03,6.72,314.62,19.39,101.08,0.922,0.6787,0.5513,0.804,0.052,-0.2759,-0.3403,-0.088,0.0691,-0.0595,0.1727,5,10.66,3.07,0.0,0.0498,0.1805,1.381,36.24
soybean,9.955,562.0,38.5,551.26,24.76,35.2,18.67,78.61,4.0,6.72,212.1,26.76,168.43,0.556,0.7811,0.617,0.941,0.0545,0.0056,-0.0501,0.112,0.3734,0.2858,0.4617,5,3.75,0.2,0.0,0.118,0.1638,1.458,21.02
cotton,8.176,670.96,38.41,741.5,22.15,31.35,17.13,75.55,15.42,7.12,234.61,31.72,122.88,0.27,0.7234,0.5413,0.915,0.1048,0.1025,-0.0849,0.2047,0.3242,0.1793,0.4025,4,3.13,0.0,0.0,0.174,0.1887,0.871,29.61
cotton,8.244,622.9,59.58,526.27,26.4,32.92,19.66,52.63,14.98,7.83,396.24,13.43,186.05,0.551,0.8854,0.6974,1.0,0.047,-0.1816,-0.2908,-0.1218,0.2415,0.1491,0.3447,5,2.82,0.0,0.0,0.0759,0.149,0.898,31.86
soybean,3.295,358.37,14.2,388.78,28.14,33.32,24.45,73.18,9.84,6.82,233.0,30.0,287.28,0.68,0.7224,0.5882,0.8481,0.0756,-0.2274,-0.4027,-0.0478,0.202,0.1275,0.3002,3,6.09,0.0,0.0,0.1004,0.1933,1.517,24.5
wheat,6.648,150.0,27.98,174.71,33.67,39.92,26.41,60.33,12.54,7.88,278.31,26.33,164.99,0.797,0.6193,0.4576,0.7846,0.0843,-0.3501,-0.4724,-0.2326,0.0147,-0.0885,0.0658,2,3.3,4.92,0.0,0.1473,0.2656,3.132,67.49
wheat,9.982,586.64,9.45,532.09,23.95,30.71,17.11,44.95,14.77,6.58,303.43,7.45,251.28,0.883,0.787,0.5705,0.9376,0.0836,-0.0578,-0.2084,0.1327,0.285,0.1835,0.3761,5,6.13,0.0,0.0,0.0666,0.1332,4.744,18.55
chickpea,7.172,700.18,47.45,663.02,31.87,42.7,23.94,43.32,19.49,7.3,195.58,28.67,136.64,0.54,0.5778,0.3428,0.7677,0.0562,-0.2144,-0.4066,-0.0171,0.0997,0.0126,0.2642,3,-3.91,7.7,0.0,0.1858,0.1833,1.446,76.61
wheat,5.479,1030.28,53.9,912.74,22.08,29.13,16.09,68.75,9.29,6.82,205.3,24.11,149.59,0.812,0.7115,0.5318,0.8213,0.0728,0.0759,-0.0267,0.1979,0.4267,0.2665,0.4802,2,2.61,0.0,0.0,0.1582,0.103,4.294,21.45
maize,0.968,805.54,30.74,996.28,34.01,39.21,30.11,88.62,25.85,6.35,187.92,17.75,131.34,0.74,0.621,0.4696,0.7642,0.121,-0.254,-0.4531,-0.1218,0.0997,-0.0354,0.1642,1,8.71,4.21,0.0,0.4085,0.3121,3.108,75.64
cotton,7.874,583.16,7.96,703.16,26.33,31.02,17.12,85.91,18.33,6.75,101.85,25.28,204.16,0.489,0.6968,0.4453,0.8605,0.0629,-0.0733,-0.1277,0.0332,0.2875,0.1381,0.4551,3,5.9,0.0,0.0,0.1516,0.1137,0.514,23.45
soybean,4.932,517.75,29.35,408.39,31.83,39.23,22.73,80.47,14.34,6.22,220.36,19.55,233.69,0.744,0.72,0.5334,0.845,0.0819,-0.2324,-0.303,-0.0607,0.2064,0.1509,0.2575,1,-0.74,4.23,0.0,0.1676,0.2733,1.179,42.6
cotton,6.108,815.63,12.07,533.96,30.3,37.69,24.6,72.05,22.02,6.74,329.29,20.23,171.5,0.834,0.7676,0.6673,0.8519,0.1317,-0.2322,-0.3561,-0.17,0.2406,0.1595,0.4102,3,-5.21,2.69,0.0,0.1977,0.2372,0.237,26.46
wheat,7.222,424.33,26.59,346.35,27.22,35.62,18.87,49.7,9.87,5.99,291.71,5.0,179.54,0.954,0.7857,0.5642,0.8842,0.0926,-0.1567,-0.219,0.0273,0.1788,0.1146,0.3538,5,8.95,0.62,0.0,0.0877,0.1414,4.311,38.89
chickpea,4.6,702.01,50.65,763.24,20.63,24.27,9.94,60.33,19.08,4.8,311.27,27.42,217.93,0.904,0.646,0.4503,0.7496,0.1056,0.2037,0.0818,0.3964,0.3752,0.2533,0.5248,2,14.34,0.0,0.0,0.113,0.1496,1.394,43.77
maize,3.899,560.25,11.62,366.85,21.18,27.7,13.33,74.99,6.5,6.61,306.19,26.48,118.01,0.596,0.7707,0.5868,0.9479,0.1084,0.0578,-0.0151,0.1317,0.1917,0.0635,0.2581,1,11.58,0.0,0.0,0.1203,0.1334,3.78,26.87
chickpea,1.607,824.5,101.22,947.4,24.69,32.94,18.26,60.23,12.58,6.64,278.04,21.32,99.32,0.447,0.6731,0.5669,0.8564,0.0454,0.1385,0.0224,0.2275,0.4607,0.3139,0.6281,2,-4.04,0.0,1.122,0.1383,0.44,1.66,40.48
cotton,4.476,417.68,38.0,348.38,30.95,42.01,25.37,67.57,16.97,7.18,160.28,25.1,144.47,0.511,0.7231,0.4717,0.8231,0.075,-0.2693,-0.3979,-0.1944,0.0812,0.0141,0.1851,3,-6.99,7.01,0.0,0.2343,0.2008,0.592,61.44
wheat,7.349,563.85,89.84,612.21,37.59,45.89,33.4,68.61,13.51,7.82,221.57,13.79,203.83,0.674,0.8075,0.6468,0.9212,0.1,-0.2667,-0.4116,-0.1291,0.2556,0.1713,0.3528,1,0.64,10.89,0.0,0.2515,0.373,3.342,89.76
cotton,3.444,644.09,19.04,518.93,27.14,36.26,18.96,81.99,11.89,7.35,205.78,29.56,262.05,1.342,0.6898,0.576,0.8522,0.1337,-0.1283,-0.2746,-0.0531,0.2906,0.1181,0.4204,2,3.88,1.26,0.0,0.1814,0.1778,0.975,34.53
chickpea,4.075,773.51,39.62,955.37,22.63,28.78,11.54,67.69,9.92,6.42,232.79,30.84,223.49,0.806,0.6925,0.4435,0.7864,0.0971,0.1128,-0.0722,0.2588,0.2353,0.0758,0.3627,5,1.96,0.0,0.0,0.2347,0.0916,1.407,30.1
soybean,9.448,534.08,48.24,358.43,19.47,22.81,12.51,54.46,12.0,8.2,182.92,26.65,203.04,0.527,0.7174,0.5307,0.8056,0.1074,0.0195,-0.1329,0.2036,0.4358,0.318,0.555,2,-4.65,0.0,0.0,0.1099,0.071,1.423,38.22
rice,8.734,539.59,23.41,591.03,21.99,29.33,14.15,71.66,2.98,5.82,274.89,9.61,243.33,1.169,0.8282,0.5854,1.0,0.1032,0.0642,-0.0816,0.2085,0.4027,0.2843,0.5248,3,7.51,0.0,0.0,0.0798,0.387,3.446,30.21
cotton,1.726,648.33,24.19,456.89,26.17,33.17,20.64,89.42,14.0,6.24,225.08,21.45,173.29,0.813,0.59,0.4378,0.6953,0.1113,-0.1422,-0.286,-0.047,0.2107,0.0452,0.3641,3,12.43,0.0,0.0,0.252,0.0424,0.973,44.73
maize,7.682,582.82,57.67,541.73,24.89,34.95,12.77,49.62,16.62,6.48,261.54,32.58,229.06,0.846,0.7316,0.5674,0.8267,0.0628,0.0751,-0.0407,0.2221,0.2254,0.1162,0.3386,4,6.74,0.0,0.0,0.1296,0.2083,3.904,12.29
maize,0.996,488.98,25.33,366.29,26.75,35.62,17.27,65.23,12.9,8.0,198.1,22.24,112.19,1.112,0.6521,0.4556,0.8028,0.075,-0.0288,-0.156,0.0843,0.2633,0.1001,0.3791,3,1.82,0.62,0.0,0.097,0.2032,4.403,53.33
cotton,1.92,335.6,24.38,224.99,23.47,27.83,15.57,47.05,4.79,6.81,316.87,20.97,144.24,0.884,0.6876,0.5487,0.79,0.066,-0.0513,-0.1672,0.0525,0.3685,0.2259,0.4771,4,2.73,0.0,0.0,0.0746,0.1685,0.995,21.09
maize,3.871,570.68,26.02,553.5,22.52,29.47,15.28,53.65,3.24,6.87,219.49,12.24,236.47,1.108,0.7708,0.5968,0.8923,0.0899,0.068,-0.1032,0.2569,0.1944,0.0699,0.2794,4,1.65,0.0,0.0,0.0437,0.1083,4.454,25.17
soybean,1.51,648.3,30.02,800.75,23.61,29.87,14.29,58.43,16.56,5.48,254.69,5.0,115.4,0.37,0.7919,0.6918,0.9287,0.0992,0.0147,-0.0563,0.1469,0.3225,0.1899,0.4678,2,4.24,0.0,0.0,0.0734,0.0968,1.252,34.88
cotton,4.981,753.18,56.76,684.73,26.16,31.4,21.96,50.74,1.0,6.49,396.57,34.61,187.46,0.756,0.7578,0.5158,0.9361,0.1021,-0.0972,-0.2112,0.0649,0.3135,0.1584,0.4242,3,-2.25,0.0,0.0,0.0873,0.0,1.099,13.81
rice,2.934,698.27,30.12,841.24,35.53,42.92,28.38,49.08,7.66,6.8,370.43,41.78,89.93,0.873,0.6436,0.3534,0.8295,0.0657,-0.3448,-0.5071,-0.1856,0.1068,-0.0502,0.2026,2,6.91,7.92,0.0,0.1295,0.1511,2.214,52.8
chickpea,9.811,610.95,27.17,442.36,33.1,40.5,26.58,68.26,15.85,6.49,331.16,24.0,157.18,0.565,0.8226,0.6951,0.9595,0.0851,-0.3326,-0.4441,-0.1917,0.1508,0.0305,0.327,1,6.31,5.5,0.0,0.1589,0.1843,0.937,46.41
soybean,3.564,635.56,27.0,748.61,26.26,30.31,19.78,60.33,21.58,8.12,155.94,31.48,126.69,0.726,0.5906,0.3694,0.7567,0.0712,-0.0905,-0.2049,0.0601,0.3111,0.2128,0.4855,4,8.53,0.0,0.0,0.1138,0.1861,1.461,56.5
wheat,9.071,771.71,10.4,699.07,29.27,37.35,22.52,71.83,10.18,7.54,166.68,6.73,213.48,0.645,0.4583,0.2708,0.62,0.0309,-0.2471,-0.3383,-0.0496,0.1831,0.1328,0.2935,4,-7.62,2.35,0.0,0.2696,0.1294,4.446,69.76
maize,6.758,461.86,7.44,425.51,32.72,35.76,24.85,57.7,10.49,7.33,235.04,36.49,132.08,0.893,0.6828,0.4501,0.8265,0.0559,-0.3703,-0.534,-0.3151,0.0986,-0.0165,0.1579,5,8.28,0.76,0.0,0.0792,0.175,3.982,36.94
chickpea,7.921,664.69,12.01,687.0,28.72,32.76,27.47,75.03,16.02,8.2,154.86,22.29,129.47,0.777,0.598,0.3518,0.7914,0.0734,-0.1421,-0.2365,0.0546,0.2758,0.1555,0.3651,5,10.3,0.0,0.0,0.2572,0.1734,1.26,53.08
rice,0.576,614.47,36.46,463.97,28.0,34.29,23.43,68.57,20.04,5.47,380.94,20.95,70.41,0.745,0.7311,0.489,0.9289,0.0308,-0.1317,-0.2786,0.0244,0.3186,0.2566,0.3938,5,1.48,0.0,0.0,0.2212,0.157,3.075,48.38
rice,2.149,762.29,25.88,764.85,25.74,31.96,18.43,52.51,5.16,7.86,239.61,25.77,99.49,0.869,0.816,0.5472,0.9095,0.1319,-0.1143,-0.2075,-0.06,0.1659,0.0246,0.2942,2,10.6,0.0,0.0,0.0443,0.174,3.491,33.45
maize,8.742,574.34,46.6,530.44,26.22,33.92,19.01,53.13,18.29,6.61,270.66,18.0,158.55,0.721,0.7366,0.4567,0.8479,0.0806,-0.0698,-0.1495,0.0152,0.274,0.1769,0.351,2,3.47,0.0,0.0,0.0644,0.2023,3.948,27.27
cotton,3.316,749.59,27.62,612.47,22.03,27.92,14.96,61.3,19.19,6.33,196.4,32.6,155.4,0.33,0.6064,0.4858,0.7135,0.0925,0.0408,-0.0445,0.2036,0.2268,0.0988,0.2837,3,8.82,0.0,0.0,0.0598,0.035,1.056,30.83
cotton,3.037,841.24,34.08,572.68,38.6,43.75,28.33,74.56,4.43,6.13,363.23,33.97,177.71,0.857,0.712,0.5982,0.8946,0.1373,-0.4468,-0.5361,-0.3799,0.0944,-0.0531,0.1932,1,-0.06,8.75,0.0,0.4141,0.2254,0.772,68.28
soybean,1.746,1057.6,40.43,1195.58,23.54,31.78,18.69,62.83,6.01,5.96,264.91,30.81,193.33,0.15,0.5467,0.3808,0.649,0.121,0.0296,-0.0909,0.1733,0.2878,0.1528,0.4196,3,19.84,0.0,0.0,0.106,0.0756,1.149,42.92
cotton,6.056,657.62,21.91,562.01,22.58,28.53,14.86,49.06,9.32,7.13,237.29,27.5,208.97,1.165,0.5521,0.4322,0.7243,0.0802,-0.0407,-0.1898,0.137,0.3733,0.2278,0.433,2,1.72,0.0,0.0,0.0691,0.1509,0.953,34.78
