crop,area_ha,rainfall,rainfall_7d,rainfall_30d,temp_mean,temp_max,temp_min,humidity,wind_speed,soil_ph,nitrogen,phosphorus,potassium,organic_carbon,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndwi_mean,ndwi_min,ndwi_max,ndmi_mean,ndmi_min,ndmi_max,growth_stage,sowing_delay_days,heat_stress_days,excessive_rainfall_index,disease_probability,historical_loss,yield_estimate,risk_score_estimate
rice,7.023,392.6,77.05,448.64,38.96,49.24,31.29,67.97,14.49,6.64,178.21,18.45,223.74,0.841,0.4382,0.2103,0.6252,0.1019,-0.4612,-0.5929,-0.3023,0.1757,0.1009,0.2933,1,-1.05,14.24,0.0,0.5858,0.4339,1.375,89.73
wheat,0.839,688.62,27.42,616.07,26.97,34.43,19.3,81.96,9.8,5.37,294.47,16.25,102.95,0.773,0.6949,0.5267,0.7864,0.0885,-0.0078,-0.0993,0.1483,0.2005,0.0975,0.2868,4,1.93,0.0,0.0,0.1715,0.1698,5.164,44.9
wheat,4.913,937.4,28.7,890.88,29.41,35.26,23.43,75.41,8.0,6.0,259.51,40.41,83.97,0.632,0.6812,0.392,0.8004,0.1448,-0.2273,-0.4083,-0.043,0.1426,-0.0142,0.3225,1,16.65,0.26,0.0,0.3201,0.1943,4.255,38.52
chickpea,4.074,294.09,37.97,203.08,25.55,29.61,20.04,78.42,11.14,5.74,239.01,28.69,194.01,0.674,0.6507,0.4047,0.7798,0.1203,-0.1296,-0.2013,-0.0039,0.3238,0.2005,0.4498,3,10.46,0.0,0.0,0.3397,0.2142,1.217,44.26
wheat,2.647,1029.42,65.22,883.41,22.13,29.03,15.02,59.82,13.15,6.8,250.34,26.74,184.14,0.355,0.7619,0.5087,0.9161,0.0551,0.2006,0.0855,0.3,0.4439,0.2837,0.504,1,12.73,0.0,0.0,0.1283,0.1215,4.439,24.51
wheat,3.814,696.21,33.75,589.87,28.29,35.6,23.43,51.87,23.29,6.77,126.99,31.72,162.3,0.904,0.5527,0.3013,0.6668,0.1055,-0.2056,-0.3208,-0.0581,0.2104,0.1262,0.3097,4,-4.73,0.6,0.0,0.0708,0.1532,4.874,39.83
wheat,8.45,520.74,39.42,548.67,32.4,40.18,27.81,65.3,13.12,5.94,283.5,19.94,144.6,0.263,0.8311,0.7264,1.0,0.109,-0.2094,-0.3138,-0.0834,0.2748,0.2241,0.4471,4,3.65,5.18,0.0,0.2813,0.3469,3.817,63.68
cotton,5.452,839.52,24.85,991.21,26.29,33.42,20.76,64.65,23.04,6.79,405.7,24.71,197.83,0.66,0.8447,0.7318,0.9802,0.0833,-0.2129,-0.3308,-0.1244,0.1924,0.0839,0.3552,5,8.02,0.0,0.0,0.0864,0.2014,0.996,21.14
rice,3.256,171.42,52.26,154.91,23.38,31.97,18.57,44.79,9.21,6.95,404.85,5.48,236.26,0.835,0.6683,0.4827,0.8143,0.079,-0.0644,-0.1256,0.0381,0.2493,0.1451,0.3717,2,-1.65,0.0,0.0,0.0307,0.1803,3.091,23.12
soybean,4.405,637.21,57.97,781.53,34.58,40.66,29.16,79.11,14.43,7.17,261.13,15.0,184.93,0.463,0.5729,0.3032,0.7176,0.092,-0.3173,-0.4121,-0.1632,0.1872,0.1127,0.2405,5,2.35,5.66,0.0,0.4537,0.273,1.063,81.24
rice,7.338,681.53,19.8,828.55,31.02,38.1,26.24,63.49,16.58,5.87,237.57,20.31,143.79,0.645,0.6806,0.57,0.8128,0.1121,-0.2062,-0.3243,-0.0793,0.194,0.1161,0.369,4,3.09,3.1,0.0,0.1082,0.1515,3.082,46.94
maize,1.377,556.42,18.12,469.68,25.46,32.01,17.31,52.0,20.24,7.08,305.44,24.36,77.87,0.962,0.7694,0.5532,0.9157,0.1481,-0.0251,-0.1725,0.1673,0.2004,0.05,0.351,5,5.81,0.0,0.0,0.0901,0.0503,4.562,17.9
cotton,7.742,150.0,20.44,163.38,29.63,35.36,23.05,96.56,19.68,5.72,333.36,23.64,181.85,1.416,0.7985,0.5485,0.9856,0.0813,-0.1897,-0.3151,-0.0819,0.2088,0.0884,0.3679,1,-7.56,0.36,0.0,0.3226,0.0711,0.555,43.0
cotton,7.113,957.96,12.84,1033.05,42.0,46.95,35.0,71.25,13.23,6.35,181.91,14.5,107.88,1.026,0.4627,0.2943,0.5712,0.0587,-0.4847,-0.5893,-0.4039,-0.0025,-0.1699,0.1448,3,5.06,11.95,0.0,0.4567,0.4177,0.1,94.21
rice,6.478,361.17,53.85,258.02,26.52,33.82,18.51,33.08,21.41,6.19,243.04,33.54,128.66,0.528,0.8172,0.6686,0.9606,0.1029,-0.1148,-0.1653,-0.0229,0.4041,0.2943,0.5808,5,1.03,0.0,0.0,0.0597,0.1978,3.499,25.73
cotton,8.722,542.74,30.67,599.3,28.89,34.67,23.29,72.31,6.2,7.07,134.68,37.33,226.96,0.712,0.4941,0.2399,0.5747,0.0918,-0.2343,-0.3185,-0.0431,0.1885,0.1378,0.3502,5,4.04,0.0,0.0,0.2895,0.2325,0.712,53.11
chickpea,5.324,794.34,36.57,645.38,26.29,34.41,22.07,82.65,14.52,6.38,231.34,34.79,318.7,1.212,0.7006,0.4411,0.8848,0.0548,0.0176,-0.0516,0.1396,0.2886,0.11,0.3736,4,-6.08,0.0,0.0,0.1002,0.0171,1.338,22.33
cotton,1.027,645.5,3.92,612.65,29.44,33.18,22.69,63.59,28.2,5.47,160.29,5.61,234.73,0.37,0.7896,0.4919,0.9455,0.0896,-0.0549,-0.2167,0.0522,0.1724,0.0586,0.3433,4,-2.5,0.0,0.0,0.0938,0.1233,0.697,31.96
soybean,4.808,925.11,24.55,664.62,24.54,26.65,19.23,74.5,2.12,5.93,150.49,10.04,91.31,0.857,0.7272,0.5346,0.914,0.0665,-0.1588,-0.2342,0.0227,0.2675,0.1808,0.3645,4,5.42,0.0,0.0,0.1453,0.048,1.21,41.65
chickpea,3.994,504.38,17.68,585.86,23.63,30.79,18.02,64.67,21.58,6.7,216.94,31.03,144.05,1.119,0.7768,0.5582,0.8922,0.0503,-0.0753,-0.1974,0.0064,0.2409,0.062,0.412,1,-0.04,0.0,0.0,0.1116,0.2155,1.873,26.08
maize,5.722,918.25,10.83,838.98,24.45,28.94,14.44,62.76,7.88,6.94,385.9,20.89,127.33,1.162,0.7495,0.6194,0.9042,0.0692,-0.0098,-0.1492,0.1553,0.2139,0.1343,0.2951,1,13.91,0.0,0.0,0.1208,0.1233,4.393,25.78
cotton,6.297,751.78,49.84,783.03,20.6,28.91,14.63,72.7,1.0,5.56,330.41,29.78,182.25,1.201,0.7661,0.5517,0.9229,0.0841,0.2373,0.0605,0.2874,0.3978,0.2236,0.5197,1,-4.94,0.0,0.0,0.2098,0.1818,0.411,36.12
chickpea,8.41,577.87,8.04,378.36,27.66,34.78,20.31,56.59,18.64,6.72,231.16,19.53,195.83,0.552,0.689,0.4206,0.7921,0.0421,-0.1686,-0.2422,-0.001,0.1309,-0.0376,0.232,5,12.05,0.0,0.0,0.119,0.0635,1.953,24.23
soybean,9.615,467.2,6.9,351.27,25.95,31.32,17.24,84.71,8.89,6.47,386.51,5.41,205.04,0.972,0.729,0.5094,0.8138,0.0775,-0.1204,-0.2542,-0.0635,0.2047,0.1505,0.3204,3,-7.72,0.0,0.0,0.1138,0.1695,1.475,25.67
rice,3.734,671.1,28.79,439.99,25.69,32.76,20.34,65.32,8.76,5.91,182.38,33.08,228.64,0.4,0.6378,0.4321,0.7516,0.0586,-0.0315,-0.227,0.1338,0.1922,0.0449,0.2799,4,4.69,0.0,0.0,0.0873,0.1854,2.991,34.52
cotton,0.526,637.65,11.35,719.14,25.31,30.83,15.05,71.7,16.79,5.67,137.24,20.69,151.03,0.991,0.4921,0.362,0.6714,0.1056,-0.1497,-0.2602,-0.0823,0.2609,0.1846,0.3234,3,9.74,0.0,0.0,0.18,0.185,0.782,53.28
chickpea,8.707,482.16,14.82,550.73,26.61,34.01,21.55,54.12,11.04,7.41,236.54,26.69,60.88,0.799,0.5507,0.3793,0.7308,0.0936,-0.1132,-0.1959,-0.0226,0.187,0.0671,0.2613,4,5.39,0.0,0.0,0.2463,0.1437,1.567,48.17
wheat,1.104,369.24,14.66,376.28,25.06,29.92,18.93,45.17,22.36,6.23,105.29,23.73,179.13,0.527,0.7123,0.5609,0.8791,0.0559,0.0617,-0.0511,0.1249,0.2353,0.1181,0.3055,4,4.07,0.0,0.0,0.0654,0.2122,4.708,25.33
maize,5.828,467.75,41.02,310.12,23.4,29.07,17.72,60.61,18.89,6.93,306.23,30.05,150.27,0.794,0.8836,0.7101,1.0,0.1058,0.1248,-0.0255,0.3076,0.4429,0.2677,0.585,2,9.52,0.0,0.0,0.0331,0.1125,4.659,12.89
maize,9.004,628.25,26.8,643.99,25.55,36.65,18.13,62.98,10.91,7.41,326.22,28.52,218.86,0.749,0.7005,0.4081,0.8972,0.1344,-0.0447,-0.1996,0.0262,0.1902,0.0258,0.2415,3,7.97,1.65,0.0,0.0978,0.2284,4.348,38.28
maize,2.051,758.53,78.0,809.63,23.02,30.22,15.2,52.94,11.48,7.06,294.01,28.96,240.37,1.189,0.95,0.6723,1.0,0.096,0.1472,0.0946,0.3367,0.4495,0.3655,0.5134,2,3.03,0.0,0.0,0.0847,0.0,4.449,12.21
cotton,3.721,765.36,36.92,668.95,25.38,34.26,19.24,58.0,8.66,6.62,284.4,30.4,147.5,0.971,0.7799,0.6592,0.9016,0.0272,-0.0944,-0.2094,-0.0222,0.316,0.2282,0.3944,2,6.6,0.0,0.0,0.1903,0.1307,0.742,24.85
maize,1.481,770.8,43.63,694.57,32.63,36.28,29.08,85.13,11.41,7.15,230.09,17.78,220.19,1.158,0.7597,0.6533,0.9441,0.1102,-0.2846,-0.4832,-0.1815,0.1661,-0.0066,0.2286,1,1.24,1.28,0.0,0.3436,0.0042,4.228,28.64
soybean,3.092,857.71,20.07,760.44,26.47,33.6,19.56,85.21,19.17,6.36,280.65,16.69,182.6,0.76,0.6358,0.479,0.7687,0.1074,-0.0835,-0.2211,0.0567,0.1912,0.0796,0.3091,3,0.04,0.0,0.0,0.3688,0.1333,1.635,36.3
wheat,9.505,714.26,30.34,491.66,24.76,33.71,15.88,74.78,15.69,6.22,238.4,23.07,296.74,0.415,0.6022,0.3834,0.7098,0.0924,-0.1153,-0.1878,-0.0264,0.1042,-0.0541,0.2164,5,1.84,0.0,0.0,0.2155,0.0309,4.739,37.6
maize,6.164,805.85,61.77,690.11,26.42,29.67,21.01,62.23,1.0,5.34,224.78,23.65,144.79,0.791,0.6506,0.3931,0.747,0.0836,-0.1106,-0.2845,0.0262,0.2682,0.1705,0.3308,3,1.41,0.0,0.0,0.1297,0.1455,4.527,51.3
wheat,7.697,510.76,25.26,606.36,32.12,36.82,24.01,58.55,17.95,8.2,278.63,40.5,194.34,0.432,0.6812,0.382,0.8507,0.0703,-0.3247,-0.4733,-0.2338,0.3112,0.2234,0.4415,3,1.5,1.82,0.0,0.2385,0.255,4.465,52.35
maize,7.048,773.29,20.06,615.76,26.47,34.21,19.36,61.92,8.23,7.37,286.88,23.24,152.37,0.974,0.7899,0.6395,0.9793,0.1354,-0.0842,-0.2496,0.0258,0.3107,0.1412,0.4403,1,5.74,0.0,0.0,0.1262,0.1216,4.043,18.63
maize,1.047,613.8,26.1,660.24,29.85,39.54,22.94,53.25,19.31,7.15,251.19,30.71,143.88,0.938,0.5704,0.3397,0.7629,0.1119,-0.2363,-0.3949,-0.1287,0.1797,0.0371,0.329,5,3.4,4.54,0.0,0.1614,0.1531,3.62,57.67
rice,4.51,150.0,20.56,149.58,30.68,37.0,21.46,75.41,20.34,6.33,302.41,26.81,154.75,1.022,0.6521,0.4458,0.7945,0.0763,-0.1677,-0.3311,-0.0701,0.0561,-0.0271,0.1785,5,9.32,2.0,0.0,0.4408,0.1217,2.138,47.28
chickpea,7.044,628.87,26.2,452.47,28.81,36.07,20.38,62.74,19.61,7.0,171.86,21.65,177.65,0.926,0.7009,0.5202,0.8769,0.1439,-0.2549,-0.3601,-0.1629,0.2251,0.1415,0.3692,2,7.87,1.07,0.0,0.135,0.1865,1.179,36.21
maize,4.358,761.67,18.3,861.39,33.38,42.28,28.6,80.45,21.26,7.87,297.96,20.67,248.46,1.183,0.7081,0.4445,0.8713,0.0976,-0.3323,-0.5087,-0.2447,0.1966,0.0497,0.2488,5,5.64,7.28,0.0,0.3054,0.356,3.734,79.27
maize,9.334,321.43,14.57,355.7,26.08,33.53,19.81,81.51,10.02,5.94,200.49,22.71,250.8,0.568,0.7876,0.4985,0.9381,0.1169,-0.1566,-0.272,-0.0783,0.301,0.2186,0.3955,3,15.67,0.0,0.0,0.0612,0.1363,4.094,24.61
maize,2.415,835.12,31.18,844.46,17.41,24.68,14.19,37.41,1.0,7.78,247.33,26.08,213.88,0.816,0.7268,0.5645,0.9061,0.0632,0.1393,-0.0074,0.2205,0.3927,0.2957,0.5524,4,6.59,0.0,0.0,0.0341,0.1474,3.953,31.61
soybean,7.038,917.39,33.82,895.51,31.25,38.14,20.32,50.16,16.51,6.41,230.71,19.96,69.7,0.772,0.7067,0.4187,0.7954,0.1431,-0.3237,-0.4793,-0.2628,0.3165,0.1492,0.4245,2,-0.53,3.14,0.0,0.146,0.2888,1.709,42.86
soybean,2.532,595.17,6.5,564.77,28.13,37.22,22.14,57.38,20.66,5.29,244.92,27.13,152.58,0.948,0.7297,0.5488,0.8415,0.096,-0.2617,-0.3955,-0.0738,0.1681,0.0661,0.2962,5,0.12,2.22,0.0,0.0731,0.0953,1.575,48.09
soybean,8.176,495.61,74.95,474.24,24.48,30.17,16.19,67.05,8.25,8.17,190.74,20.27,135.46,0.71,0.7838,0.588,0.9058,0.136,0.105,-0.0623,0.1636,0.3996,0.2257,0.5543,5,7.5,0.0,0.0,0.1315,0.2216,1.508,48.34
maize,8.142,619.75,71.49,576.1,26.17,32.48,18.11,74.25,10.49,6.43,287.83,23.89,253.27,1.179,0.8403,0.7057,0.9867,0.0843,0.098,0.0134,0.1522,0.4769,0.4154,0.6077,4,4.19,0.0,0.0,0.204,0.0745,4.559,24.69
maize,1.843,150.0,45.51,171.4,30.47,39.31,23.96,83.86,7.81,5.86,168.34,15.27,210.96,0.981,0.7462,0.5314,0.8587,0.0342,-0.1563,-0.3556,0.0254,0.2074,0.1393,0.2891,5,-0.86,4.31,0.0,0.4466,0.2238,3.345,61.61
cotton,3.037,966.78,40.86,1107.95,23.26,29.3,19.9,98.0,12.69,5.95,256.84,32.49,157.22,0.5,0.7327,0.6091,0.9242,0.0935,0.0501,-0.1222,0.1464,0.4264,0.264,0.5479,3,12.33,0.0,0.0,0.2699,0.3042,0.597,43.17
chickpea,2.283,1032.79,12.61,785.69,29.57,39.1,22.38,82.13,15.59,6.61,197.7,29.48,175.0,0.864,0.6853,0.4753,0.7864,0.0896,-0.1097,-0.2728,0.0416,0.2231,0.0517,0.2776,4,9.64,4.1,0.0,0.2133,0.2386,1.113,45.96
maize,7.999,794.52,31.41,737.08,30.54,37.0,22.72,67.13,5.06,6.34,257.89,20.31,226.65,0.327,0.7655,0.4962,0.911,0.0733,-0.2575,-0.3157,-0.1677,0.2652,0.2115,0.3692,2,4.14,2.0,0.0,0.3118,0.3012,4.253,43.8
maize,9.796,525.53,32.99,512.41,28.78,36.73,18.58,95.33,13.66,7.22,283.24,25.95,142.06,0.655,0.7148,0.6046,0.8896,0.02,-0.033,-0.1072,0.0714,0.2829,0.2071,0.3869,5,-4.19,1.73,0.0,0.3304,0.1305,4.331,37.59
soybean,9.377,826.35,54.14,806.12,23.9,31.06,16.88,80.91,16.86,6.75,324.3,5.0,120.57,0.61,0.7715,0.659,0.8723,0.0851,0.0511,-0.0773,0.2478,0.4317,0.3067,0.5385,2,15.74,0.0,0.0,0.1287,0.1202,1.551,18.29
soybean,4.035,472.73,14.27,582.6,21.32,26.15,17.13,57.65,6.7,5.76,185.86,28.37,200.41,0.424,0.6099,0.4062,0.6984,0.1284,-0.0163,-0.2032,0.0666,0.3146,0.2361,0.4328,2,-0.69,0.0,0.0,0.1093,0.1428,1.686,37.36
rice,4.591,661.67,18.07,719.98,28.42,33.21,22.74,64.04,5.96,7.71,233.89,21.81,50.0,1.341,0.6226,0.4199,0.7966,0.0699,-0.2213,-0.3943,-0.0776,0.1953,0.049,0.2938,2,2.39,0.0,0.0,0.158,0.1939,3.206,53.68
soybean,1.942,811.47,68.48,924.76,27.49,32.99,21.17,43.38,14.53,6.08,217.86,23.48,73.54,1.17,0.6954,0.5322,0.8025,0.0746,0.0543,-0.0766,0.1787,0.3138,0.2584,0.4319,2,4.5,0.0,0.0,0.0461,0.074,1.816,34.33
maize,6.065,710.17,58.62,596.18,31.84,40.73,27.45,55.34,15.11,6.31,347.26,18.27,152.71,0.873,0.8991,0.7524,1.0,0.053,-0.2021,-0.2702,-0.0304,0.3371,0.1644,0.499,2,8.38,5.73,0.0,0.0968,0.3314,3.986,52.62
soybean,6.733,150.0,15.82,162.67,31.59,40.36,23.24,59.55,11.1,6.46,243.7,25.06,177.76,0.735,0.6173,0.5149,0.7113,0.0712,-0.2305,-0.3545,-0.0731,0.0439,-0.0681,0.1891,2,5.34,5.36,0.0,0.1626,0.2591,1.452,56.69
wheat,0.554,921.72,13.1,658.54,23.65,27.07,14.89,72.3,14.83,6.32,214.59,28.03,223.72,0.427,0.6675,0.4429,0.8669,0.1257,-0.0697,-0.1806,0.0692,0.4622,0.4068,0.5556,1,-9.32,0.0,0.0,0.0902,0.0054,4.933,30.78
wheat,5.609,470.11,19.94,521.62,22.56,30.6,16.97,98.0,13.46,6.49,333.78,23.46,140.17,0.599,0.7672,0.4895,0.9314,0.0937,0.07,-0.0784,0.2054,0.3052,0.1917,0.4837,1,4.31,0.0,0.0,0.1913,0.2223,4.919,30.6
chickpea,8.271,762.21,19.56,528.82,20.16,28.55,15.05,67.43,14.42,7.14,283.98,21.79,251.74,0.677,0.6442,0.4683,0.8042,0.0591,0.0051,-0.1752,0.0564,0.2781,0.161,0.3547,5,7.89,0.0,0.0,0.0245,0.0,1.732,23.06
soybean,7.097,776.2,38.35,610.06,27.66,36.04,23.99,91.54,13.68,6.89,238.4,6.63,105.05,0.554,0.4613,0.2065,0.582,0.1206,-0.2693,-0.396,-0.0952,0.2787,0.1592,0.3332,2,0.46,1.04,0.0,0.3895,0.2316,1.203,66.76
soybean,8.021,439.36,34.22,305.55,33.03,44.63,24.15,70.12,14.93,6.29,194.55,12.99,101.67,1.243,0.7594,0.4791,0.9304,0.1174,-0.2619,-0.4538,-0.134,0.2413,0.1771,0.3379,2,6.94,9.63,0.0,0.242,0.3238,0.947,73.1
wheat,7.512,653.04,28.54,508.88,29.38,38.0,23.64,54.77,23.92,7.26,437.51,26.15,190.01,0.605,0.7983,0.5173,0.9461,0.0692,-0.1963,-0.2824,-0.0467,0.1988,0.0874,0.2959,4,5.96,3.0,0.0,0.1585,0.0816,4.709,31.56
chickpea,4.313,686.86,40.04,720.82,27.17,34.07,19.15,87.46,22.8,6.52,267.68,16.38,188.23,0.885,0.6671,0.402,0.7674,0.0695,-0.0741,-0.2483,0.0884,0.2115,0.1398,0.3051,1,8.04,0.0,0.0,0.3021,0.1891,1.532,35.0
wheat,1.757,753.46,17.84,595.65,25.45,31.78,21.36,83.63,19.02,6.89,230.05,32.58,121.19,0.484,0.7834,0.6791,0.9579,0.0556,0.0787,-0.0488,0.2401,0.3146,0.1617,0.3715,1,2.47,0.0,0.0,0.162,0.0,4.468,20.31
soybean,2.994,261.19,41.5,218.54,27.71,38.3,19.02,70.16,22.28,7.14,184.33,37.37,159.6,1.142,0.6071,0.4636,0.7768,0.0759,-0.1262,-0.1955,0.0602,0.2137,0.0915,0.2779,4,-1.7,3.3,0.0,0.1788,0.3107,1.702,55.38
rice,1.827,403.97,27.87,504.4,29.41,39.55,24.84,81.08,24.85,8.19,232.08,16.81,211.9,0.303,0.8018,0.6709,0.9239,0.0436,-0.2416,-0.3492,-0.085,0.2007,0.1064,0.2881,2,-0.88,4.55,0.0,0.1994,0.2816,2.599,62.76
maize,7.151,740.72,52.19,784.92,34.45,40.55,30.85,56.11,22.22,7.17,175.07,6.38,181.67,0.636,0.6502,0.3608,0.7609,0.07,-0.267,-0.3556,-0.1682,0.1103,-0.0072,0.2638,1,-0.09,5.55,0.0,0.2411,0.2407,3.419,63.24
