crop,area_ha,rainfall,rainfall_7d,rainfall_30d,temp_mean,temp_max,temp_min,humidity,wind_speed,soil_ph,nitrogen,phosphorus,potassium,organic_carbon,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndwi_mean,ndwi_min,ndwi_max,ndmi_mean,ndmi_min,ndmi_max,growth_stage,sowing_delay_days,heat_stress_days,excessive_rainfall_index,disease_probability,historical_loss,yield
chickpea,5.337,287.81,98.24,220.08,28.22,32.54,23.09,76.4,11.21,7.29,160.68,37.41,197.56,0.837,0.5319,0.3155,0.629,0.1359,-0.1985,-0.3521,-0.1302,0.404,0.3396,0.5624,2,6.74,0.0,0.824,0.4893,0.1977,1.344
cotton,0.917,911.67,48.82,708.69,21.37,31.3,10.55,57.32,1.0,7.54,253.27,23.68,196.58,0.557,0.7704,0.5904,0.8822,0.117,0.1939,0.0688,0.3259,0.3675,0.2267,0.4816,2,13.63,0.0,0.0,0.06,0.1502,0.585
cotton,2.036,1057.81,12.24,1256.99,28.01,37.97,16.38,62.53,1.0,5.7,192.02,20.53,161.13,1.068,0.6045,0.3067,0.7366,0.0669,-0.2929,-0.4747,-0.2377,0.2552,0.1183,0.3063,2,3.97,2.97,0.0,0.0682,0.1869,1.329
cotton,9.385,276.89,20.2,252.15,24.99,31.9,15.95,45.55,22.17,5.16,194.12,11.3,182.3,0.466,0.522,0.3829,0.6556,0.1211,-0.0509,-0.1445,0.1155,0.1402,-0.0169,0.2109,4,5.87,0.0,0.0,0.041,0.0286,0.708
cotton,1.48,888.19,7.59,880.36,28.37,34.33,18.86,55.6,8.88,6.91,215.08,7.92,225.15,0.366,0.8076,0.6526,0.927,0.0694,-0.1474,-0.2011,-0.0892,0.2981,0.1438,0.4092,3,4.4,0.0,0.0,0.0412,0.1191,0.739
maize,6.533,699.55,50.07,502.29,24.87,34.39,17.82,54.67,15.11,5.82,174.69,32.15,215.76,0.595,0.5424,0.4145,0.6769,0.0528,0.0782,-0.0659,0.2041,0.1505,0.0076,0.2827,4,-2.53,0.0,0.0,0.1298,0.0745,4.174
soybean,8.027,578.03,23.19,413.05,32.49,37.72,23.25,59.93,13.65,8.04,228.68,20.42,168.76,0.888,0.6069,0.4157,0.6956,0.0899,-0.2818,-0.3968,-0.1526,0.1221,0.0065,0.2888,1,-0.16,2.72,0.0,0.2707,0.3276,1.602
chickpea,3.022,673.36,30.54,742.77,27.37,37.58,21.05,33.62,17.68,6.72,269.44,26.13,215.35,1.03,0.8281,0.6848,0.974,0.0907,-0.1468,-0.319,0.0463,0.3555,0.1823,0.4335,3,-4.09,2.58,0.0,0.0202,0.172,1.671
rice,7.388,747.52,26.19,626.11,25.89,32.88,16.22,70.0,14.48,6.67,253.57,28.27,333.47,0.895,0.7127,0.5038,0.8724,0.1063,0.0453,-0.0305,0.2392,0.1739,0.0546,0.2757,5,4.48,0.0,0.0,0.0735,0.0828,3.325
maize,2.114,904.67,41.08,986.23,26.08,35.77,22.05,79.54,14.78,6.92,200.49,30.58,94.89,0.709,0.6624,0.5411,0.7561,0.1061,0.0458,-0.1428,0.2073,0.3279,0.2532,0.448,3,-2.54,0.77,0.0,0.2855,0.1573,4.329
rice,3.205,893.32,12.0,634.43,26.21,34.74,21.22,71.03,14.97,6.39,269.76,30.22,124.26,1.089,0.7586,0.5187,0.8504,0.0373,-0.1413,-0.3038,0.0197,0.2971,0.2113,0.4293,2,3.45,0.0,0.0,0.1873,0.1634,3.691
wheat,3.462,318.48,115.19,209.66,30.28,42.67,20.52,69.7,22.1,6.08,334.48,34.66,198.73,0.972,0.6902,0.4427,0.816,0.0859,-0.074,-0.2001,0.0343,0.4124,0.3348,0.4694,1,-2.8,7.67,2.519,0.5146,0.5073,3.835
chickpea,9.966,507.29,41.1,456.34,27.71,36.29,21.83,66.49,21.8,6.2,142.48,26.47,257.21,0.672,0.783,0.5339,0.8973,0.0809,-0.0879,-0.138,0.0214,0.2475,0.1286,0.3678,1,0.58,1.29,0.0,0.1345,0.2024,1.214
cotton,2.538,670.58,44.65,593.5,26.21,37.12,18.97,77.74,5.99,6.39,232.45,24.68,255.99,0.642,0.6882,0.5,0.8117,0.1185,-0.1204,-0.1833,-0.0421,0.2647,0.1256,0.4251,2,2.96,2.12,0.0,0.2446,0.1761,0.726
maize,1.727,995.89,32.29,1224.19,30.76,36.83,27.39,41.15,16.64,6.7,246.18,15.92,162.7,0.749,0.7138,0.4334,0.8313,0.1348,-0.3624,-0.4495,-0.2871,0.1428,0.0718,0.2735,1,12.83,1.83,0.0,0.0569,0.1091,3.768
rice,9.294,150.0,11.78,100.25,36.88,41.99,29.15,92.87,13.54,6.63,252.3,26.65,249.13,0.951,0.6198,0.4126,0.8145,0.0569,-0.4232,-0.5831,-0.2742,0.0,-0.1232,0.0611,3,1.31,6.99,0.0,0.7027,0.3105,2.026
cotton,2.038,515.62,20.36,526.31,24.44,31.03,19.33,70.32,1.0,7.72,351.63,16.95,186.44,0.757,0.79,0.5999,0.9808,0.0658,0.0812,-0.0929,0.2379,0.2344,0.1009,0.3219,2,7.75,0.0,0.0,0.0756,0.1024,0.692
maize,8.853,313.86,18.35,358.56,28.54,35.8,23.37,79.54,28.83,7.03,168.7,16.91,276.22,1.026,0.6411,0.376,0.8389,0.0902,-0.287,-0.3764,-0.208,0.1673,0.1076,0.3291,1,13.48,0.8,0.0,0.2778,0.2248,3.665
rice,6.679,348.74,55.92,299.57,23.86,31.09,18.12,52.58,6.5,6.12,205.01,29.64,158.64,0.502,0.6691,0.5342,0.8689,0.0442,0.0827,0.0098,0.2567,0.272,0.1269,0.4088,2,10.7,0.0,0.0,0.0573,0.1624,2.688
rice,5.98,866.86,12.98,920.22,29.79,36.83,24.18,49.63,11.17,6.67,290.73,10.31,173.83,0.556,0.6219,0.4376,0.7166,0.1175,-0.384,-0.5476,-0.2451,0.0963,-0.0149,0.2556,1,-4.17,1.83,0.0,0.1094,0.1429,3.193
wheat,7.638,532.99,27.35,598.82,33.32,41.02,26.45,62.32,16.16,5.78,200.87,25.26,125.15,0.556,0.6842,0.4326,0.8315,0.0726,-0.3215,-0.4507,-0.1236,0.0717,-0.0704,0.1266,1,-1.23,6.02,0.0,0.1172,0.1871,4.029
soybean,7.397,150.0,8.96,123.65,21.26,29.88,14.64,55.34,7.92,5.78,258.8,27.01,147.9,0.962,0.5204,0.353,0.6511,0.0934,-0.0026,-0.1001,0.0601,0.1462,0.0127,0.2667,1,2.28,0.0,0.0,0.1001,0.0128,1.857
maize,1.55,615.14,40.4,694.81,28.98,33.43,24.66,56.16,17.93,7.79,162.97,22.94,110.7,0.704,0.5544,0.2622,0.7291,0.062,-0.0921,-0.1731,-0.003,0.1892,0.0107,0.3009,2,6.82,0.0,0.0,0.0806,0.212,4.1
chickpea,9.995,1097.89,15.38,1352.06,19.97,26.7,11.6,61.7,17.91,5.78,157.62,20.03,255.95,1.016,0.8671,0.7106,1.0,0.0635,0.0549,-0.04,0.2065,0.3365,0.1594,0.4554,4,-0.75,0.0,0.0,0.0643,0.0346,1.109
soybean,9.448,252.53,43.19,211.55,24.86,31.02,19.27,63.79,22.14,6.71,222.97,43.36,176.7,0.817,0.7086,0.552,0.8443,0.1092,-0.0159,-0.1723,0.1314,0.3756,0.2156,0.4734,2,-1.79,0.0,0.0,0.0621,0.0532,1.475
chickpea,9.018,767.25,52.11,588.3,27.07,34.54,19.9,58.47,8.3,6.92,323.62,36.17,157.53,1.067,0.7955,0.5248,0.9901,0.0913,-0.1168,-0.2516,0.0354,0.3189,0.2124,0.3919,4,-4.89,0.0,0.0,0.0979,0.0847,1.342
cotton,6.412,994.89,83.94,1193.34,30.22,37.09,20.66,76.78,16.28,6.32,289.41,16.25,166.58,0.626,0.6211,0.4064,0.7248,0.1018,-0.0613,-0.2306,0.0507,0.3253,0.2737,0.4585,2,4.71,2.09,0.0,0.4092,0.2626,0.912
wheat,5.467,639.13,23.65,423.43,22.64,32.38,17.22,74.45,8.89,6.5,307.28,27.3,199.53,1.121,0.7088,0.5834,0.8994,0.1249,0.0803,-0.0445,0.2686,0.3575,0.1843,0.4764,3,0.4,0.0,0.0,0.1285,0.1549,4.914
maize,5.595,1074.16,31.99,784.27,21.98,29.93,13.18,69.84,6.7,7.0,88.36,22.05,155.97,0.991,0.7191,0.529,0.9168,0.1379,0.0075,-0.1657,0.1595,0.3483,0.2563,0.5062,3,-3.45,0.0,0.0,0.1565,0.1488,3.532
soybean,0.642,504.84,25.94,445.63,24.12,33.28,18.55,89.09,5.16,6.93,248.08,25.23,203.41,1.199,0.7834,0.5345,0.9492,0.0928,0.0003,-0.1923,0.1294,0.2128,0.0889,0.2661,4,-5.32,0.0,0.0,0.3161,0.2958,1.343
cotton,5.245,968.11,19.94,1026.29,28.25,34.78,19.83,66.45,19.32,7.25,263.67,20.93,102.79,0.81,0.8246,0.6926,0.9926,0.0573,-0.1547,-0.3343,0.0336,0.3099,0.2473,0.416,1,-1.03,0.0,0.0,0.0899,0.0877,0.639
cotton,6.426,916.19,47.87,1106.81,20.82,29.62,16.35,85.02,12.58,6.29,140.24,19.31,259.88,0.293,0.6591,0.3987,0.8411,0.0909,0.02,-0.0996,0.0719,0.3739,0.2883,0.4365,3,9.9,0.0,0.0,0.2726,0.3519,1.133
rice,6.758,642.84,19.1,624.93,38.29,44.26,30.66,71.11,22.29,6.63,315.84,19.95,195.2,0.8,0.5422,0.3756,0.6324,0.1052,-0.5192,-0.5834,-0.4252,0.0763,0.0156,0.1481,2,2.68,9.26,0.0,0.3703,0.4589,1.948
soybean,3.655,322.82,41.37,361.38,24.3,29.37,20.4,55.42,13.21,7.23,286.43,23.63,269.35,1.066,0.8205,0.5896,0.9039,0.0904,-0.0297,-0.2074,0.0358,0.2171,0.1401,0.3529,3,3.48,0.0,0.0,0.049,0.102,1.158
chickpea,4.977,429.62,1.85,348.82,23.5,33.2,17.44,67.36,25.12,5.1,253.18,18.3,204.97,0.847,0.7605,0.6604,0.9446,0.1156,-0.0466,-0.107,0.0201,0.1453,0.0223,0.2722,4,2.81,0.0,0.0,0.0507,0.0,1.676
rice,6.545,150.0,15.31,159.41,21.49,28.38,16.1,48.28,6.41,7.77,347.53,12.47,219.79,0.707,0.7173,0.5287,0.867,0.0547,0.0431,-0.1327,0.2103,0.3453,0.2178,0.4096,4,11.34,0.0,0.0,0.0309,0.212,2.609
chickpea,4.569,780.71,48.75,625.98,29.75,36.69,22.07,74.31,14.91,8.2,340.05,21.63,159.54,0.846,0.7542,0.47,0.8879,0.1011,-0.0043,-0.1016,0.0507,0.2892,0.2049,0.3919,4,8.44,1.69,0.0,0.1829,0.0118,1.953
cotton,9.64,754.35,26.97,879.7,25.03,30.46,17.87,61.3,10.72,7.84,243.18,18.3,240.99,0.871,0.6752,0.465,0.8102,0.1303,-0.1476,-0.2579,0.0461,0.3539,0.238,0.4984,2,0.01,0.0,0.0,0.0622,0.1567,0.949
cotton,7.202,667.43,53.48,577.39,29.99,35.09,22.56,85.22,14.46,6.46,329.93,21.62,243.42,0.427,0.8532,0.7291,0.9802,0.0481,-0.1804,-0.2685,-0.0356,0.3564,0.2306,0.4897,1,16.78,0.09,0.0,0.2648,0.1881,0.986
cotton,0.512,623.0,27.53,676.73,29.02,39.27,21.02,54.88,15.31,6.63,224.28,24.34,204.63,0.623,0.6673,0.5087,0.857,0.0729,-0.1956,-0.3106,-0.1152,0.2889,0.1368,0.3833,5,1.75,4.27,0.0,0.1281,0.1524,0.47
wheat,0.721,948.67,46.36,836.71,36.0,45.07,29.38,60.93,21.24,6.41,243.23,13.56,217.88,0.73,0.6488,0.3565,0.8258,0.0856,-0.4222,-0.593,-0.3601,0.1761,0.0983,0.24,1,5.35,10.07,0.0,0.3507,0.3047,3.194
rice,7.058,715.52,15.05,713.33,22.12,27.37,11.96,51.89,1.25,6.42,227.18,36.97,214.45,0.893,0.7215,0.4399,0.8855,0.0501,0.1284,-0.0116,0.2322,0.1252,-0.0086,0.2396,1,8.78,0.0,0.0,0.0445,0.094,3.147
rice,4.42,527.98,41.86,543.15,27.2,32.73,22.47,77.01,9.26,6.62,319.65,30.36,153.13,1.253,0.8115,0.6159,0.9449,0.1177,-0.0473,-0.1089,0.1267,0.3549,0.211,0.4462,2,-0.04,0.0,0.0,0.2156,0.1834,3.427
rice,8.475,682.39,36.81,538.4,26.34,33.76,19.84,86.58,22.58,6.39,244.15,19.32,239.1,0.664,0.8532,0.7206,0.9463,0.0676,0.0662,-0.0909,0.2243,0.2821,0.2136,0.4018,3,3.12,0.0,0.0,0.2984,0.2573,3.429
soybean,2.144,1100.45,24.93,912.4,18.2,24.38,10.95,72.63,13.05,5.68,170.18,28.12,123.33,0.771,0.6688,0.5307,0.7902,0.1195,0.1397,0.0791,0.2632,0.2864,0.1155,0.4556,2,2.62,0.0,0.0,0.1019,0.1176,1.336
maize,0.631,786.88,46.85,634.01,29.48,34.94,21.41,58.9,12.01,6.22,329.98,29.11,280.64,0.15,0.7761,0.6608,0.8664,0.0527,-0.227,-0.337,-0.0921,0.1823,0.0477,0.2545,1,-1.02,0.0,0.0,0.1794,0.141,4.391
soybean,4.187,564.22,51.79,514.51,26.11,31.63,18.48,52.65,3.81,7.23,233.3,37.23,78.8,0.947,0.5879,0.4224,0.7816,0.1368,-0.0909,-0.2361,0.0872,0.1861,0.021,0.2708,4,-1.72,0.0,0.0,0.0869,0.2397,1.682
cotton,7.493,640.22,44.0,434.78,30.75,37.36,23.93,78.23,10.0,7.84,226.4,38.31,136.12,0.432,0.753,0.5389,0.8518,0.1093,-0.3124,-0.369,-0.1552,0.2257,0.0722,0.3618,5,-5.3,2.36,0.0,0.2631,0.1183,0.675
cotton,9.731,751.94,47.98,936.22,28.2,32.39,21.05,50.79,21.64,5.69,128.33,17.31,131.48,0.687,0.6871,0.5637,0.8833,0.0948,-0.0093,-0.119,0.145,0.2468,0.1706,0.3644,4,11.1,0.0,0.0,0.1316,0.0898,0.572
chickpea,8.895,557.36,36.9,459.35,27.14,32.54,19.85,88.35,32.29,6.66,203.56,25.99,208.54,1.266,0.6011,0.4329,0.7006,0.0857,-0.1311,-0.1988,0.0102,0.238,0.0898,0.4139,5,1.72,0.0,0.0,0.2025,0.1824,0.865
cotton,5.099,537.9,10.69,490.46,33.4,42.58,25.69,79.24,19.0,5.98,245.56,33.14,176.82,0.669,0.637,0.444,0.7766,0.0881,-0.2443,-0.2979,-0.147,0.1172,-0.0262,0.1995,4,6.07,7.58,0.0,0.2869,0.3202,0.938
rice,8.222,647.51,29.44,527.36,24.15,28.99,17.12,69.03,21.08,5.83,348.75,28.28,210.8,0.529,0.7516,0.4908,0.9353,0.0952,-0.0683,-0.1537,-0.009,0.2187,0.1541,0.3288,1,0.46,0.0,0.0,0.1705,0.1752,3.56
chickpea,1.168,984.2,25.2,870.39,31.13,37.95,24.16,72.23,18.41,6.3,326.42,25.9,125.25,0.712,0.8148,0.5379,0.9263,0.1358,-0.2901,-0.389,-0.0941,0.3308,0.1856,0.4778,5,-0.53,2.95,0.0,0.1123,0.1241,1.293
rice,5.937,824.01,34.31,983.2,29.02,36.57,22.88,85.28,10.08,6.62,309.92,23.81,131.27,0.88,0.614,0.4699,0.7796,0.0961,-0.279,-0.4312,-0.1225,0.2079,0.0455,0.2965,5,3.52,1.57,0.0,0.2881,0.1634,3.016
wheat,9.281,559.9,52.29,597.27,34.76,43.81,26.9,45.59,24.32,7.57,77.98,26.99,259.06,0.546,0.4849,0.1957,0.6162,0.0554,-0.2233,-0.3959,-0.0816,0.2548,0.2036,0.3881,1,-5.19,8.81,0.0,0.2772,0.3653,3.188
chickpea,4.266,841.18,44.98,798.07,26.4,30.8,17.79,74.6,14.31,5.51,225.34,27.88,133.28,1.113,0.833,0.6719,0.9417,0.0912,-0.023,-0.1281,0.0998,0.3659,0.2899,0.4262,5,14.46,0.0,0.0,0.1874,0.0853,1.475
rice,9.621,651.89,43.34,690.74,37.59,42.89,33.72,47.65,8.63,6.5,214.58,15.72,238.28,1.249,0.7101,0.5689,0.8305,0.0896,-0.4192,-0.5519,-0.3489,0.1044,0.0439,0.1726,1,4.65,7.89,0.0,0.1837,0.3516,2.24
soybean,2.597,725.81,3.21,687.82,25.43,32.3,16.39,57.5,10.41,5.75,317.45,18.61,117.73,0.93,0.6942,0.5481,0.8066,0.0951,-0.2277,-0.363,-0.1523,0.1821,0.0414,0.3071,5,6.82,0.0,0.0,0.04,0.0938,1.645
rice,1.504,705.8,25.64,545.38,29.41,38.35,22.21,83.39,19.81,6.92,225.71,37.55,170.49,0.719,0.8373,0.6537,1.0,0.0203,-0.2086,-0.3861,-0.0133,0.2634,0.1091,0.4151,3,14.9,3.35,0.0,0.19,0.1513,3.389
cotton,5.485,185.74,19.96,153.63,24.72,33.0,17.79,71.17,24.14,7.09,211.51,16.15,100.47,0.484,0.7202,0.4886,0.918,0.0635,-0.0444,-0.0995,0.0312,0.1681,0.0378,0.2672,1,1.92,0.0,0.0,0.1769,0.1255,1.179
wheat,9.119,150.0,39.74,141.45,31.23,41.45,22.38,58.37,12.89,6.78,162.18,22.66,158.26,0.342,0.7855,0.6562,0.9053,0.1454,-0.245,-0.3865,-0.1351,0.3639,0.2552,0.4701,5,6.02,6.45,0.0,0.1777,0.2414,3.411
rice,3.457,699.86,60.64,764.38,25.06,30.79,15.89,78.11,16.58,6.59,199.92,26.39,144.15,0.792,0.706,0.5669,0.7913,0.1113,0.0517,-0.0049,0.1389,0.3976,0.2916,0.5076,1,-2.71,0.0,0.0,0.1959,0.1575,3.398
soybean,8.102,462.37,32.92,315.42,39.46,44.96,33.49,63.76,8.34,7.0,60.0,24.98,227.3,1.018,0.4858,0.2614,0.6757,0.0572,-0.4959,-0.6068,-0.3886,0.0961,-0.0539,0.2414,1,5.74,9.96,0.0,0.3371,0.3256,0.549
cotton,2.107,289.36,8.7,252.3,28.34,33.99,19.09,85.05,16.73,6.88,136.15,34.29,262.91,0.843,0.6483,0.3534,0.7516,0.0953,-0.2828,-0.4603,-0.1652,0.1246,0.0308,0.2437,1,4.64,0.0,0.0,0.253,0.0,0.676
rice,7.583,469.16,27.48,341.85,27.09,32.71,19.75,48.9,20.37,6.56,287.32,29.01,110.09,1.166,0.7844,0.597,0.9669,0.122,-0.1746,-0.3205,-0.0653,0.2019,0.0658,0.3481,5,17.55,0.0,0.0,0.1652,0.2312,3.011
wheat,5.792,853.42,0.68,890.97,23.3,28.5,18.38,59.8,9.45,5.92,276.26,10.93,150.46,0.457,0.7618,0.6551,0.8972,0.1135,0.0015,-0.0972,0.1492,0.2438,0.1489,0.3663,1,1.15,0.0,0.0,0.0548,0.0361,4.828
wheat,2.163,728.72,48.9,569.06,18.43,26.26,12.81,77.62,22.74,6.33,201.88,28.11,169.37,0.843,0.6169,0.3687,0.7891,0.1151,0.1837,0.0875,0.3681,0.3242,0.2251,0.4115,5,9.3,0.0,0.0,0.1408,0.215,4.671
maize,7.322,819.79,19.47,704.6,28.95,32.51,20.37,66.96,7.53,6.65,200.52,12.18,137.19,0.96,0.5321,0.3323,0.6973,0.0737,-0.1524,-0.2132,-0.006,0.2148,0.0747,0.2835,3,4.41,0.0,0.0,0.1384,0.1464,3.85
cotton,7.281,749.68,55.78,671.63,22.63,32.06,15.54,35.28,21.84,7.08,335.99,19.94,134.56,0.781,0.6979,0.4522,0.7972,0.1163,0.0731,0.0189,0.1647,0.2569,0.1771,0.3225,4,4.22,0.0,0.0,0.0453,0.0944,0.794
chickpea,5.397,447.86,56.93,404.83,30.74,37.43,27.04,33.57,25.91,7.66,333.44,7.93,253.33,0.564,0.7643,0.4782,0.9135,0.1428,-0.2693,-0.454,-0.196,0.1348,-0.0228,0.2311,5,-0.29,2.43,0.0,0.0769,0.0503,1.483
rice,2.642,820.84,64.6,804.68,15.4,23.21,5.58,67.63,15.58,6.82,229.11,27.17,184.49,0.949,0.7866,0.5918,0.9547,0.1104,0.3162,0.1921,0.4515,0.4304,0.3604,0.5097,2,-5.58,0.0,0.0,0.0683,0.0944,3.266
soybean,1.757,778.86,19.2,556.99,22.63,26.89,13.61,98.0,17.0,8.01,365.18,31.69,186.95,0.497,0.827,0.7186,0.9225,0.1229,-0.034,-0.1511,0.1293,0.3097,0.1787,0.3862,3,-0.81,0.0,0.0,0.2637,0.0199,1.655
cotton,9.594,624.15,90.81,708.53,27.82,33.22,19.4,61.39,19.28,6.31,206.78,27.39,160.14,0.804,0.758,0.4826,0.9415,0.0822,0.0753,-0.0708,0.1366,0.2274,0.0553,0.4035,5,3.25,0.0,0.081,0.1988,0.2692,0.869
maize,6.73,662.94,55.6,648.23,33.76,39.54,27.25,69.15,20.59,7.88,343.24,29.95,224.43,0.858,0.693,0.5351,0.7883,0.1142,-0.2465,-0.3843,-0.1524,0.2038,0.1109,0.3149,3,2.5,4.54,0.0,0.2847,0.2469,3.974
cotton,8.188,824.34,20.38,801.22,27.11,33.08,18.33,88.64,17.08,6.58,244.24,45.24,170.18,1.221,0.6936,0.5894,0.8872,0.1003,-0.1264,-0.2863,0.0139,0.2962,0.1525,0.4015,4,2.37,0.0,0.0,0.3463,0.1215,0.793
soybean,7.121,485.12,59.93,396.96,28.24,34.15,24.08,69.1,19.64,6.69,341.41,31.3,106.37,0.289,0.8385,0.5987,0.9746,0.0856,-0.0974,-0.228,0.0696,0.3095,0.1376,0.4423,4,3.07,0.0,0.0,0.1335,0.2552,1.506
wheat,8.38,889.33,19.69,580.86,22.41,29.38,18.07,49.76,22.83,6.37,131.85,14.66,211.2,0.577,0.5599,0.3179,0.6643,0.0352,-0.0112,-0.1138,0.1077,0.4621,0.4112,0.5406,2,12.21,0.0,0.0,0.0619,0.1086,4.431
cotton,2.044,774.32,35.08,786.24,27.41,33.27,20.66,59.33,19.29,6.87,290.85,32.28,238.15,0.848,0.62,0.4934,0.7212,0.1384,-0.2497,-0.4164,-0.1451,0.3031,0.2447,0.3872,1,5.08,0.0,0.0,0.1759,0.2077,0.983
cotton,5.221,650.5,42.02,609.18,25.59,33.91,18.78,65.12,9.54,6.28,211.67,36.61,300.42,0.931,0.831,0.697,1.0,0.1119,-0.1024,-0.2455,-0.0187,0.1804,0.0113,0.2536,1,1.61,0.0,0.0,0.1225,0.2967,0.865
rice,6.838,986.87,40.02,877.77,34.84,43.44,27.67,87.05,21.08,5.65,301.44,11.25,201.6,0.696,0.6377,0.5276,0.7899,0.0704,-0.3588,-0.553,-0.1701,0.1937,0.0978,0.3305,1,5.94,8.44,0.0,0.4718,0.2593,1.826
cotton,1.482,365.25,15.76,356.74,18.26,28.78,15.81,91.16,15.99,5.82,296.78,20.54,183.55,0.768,0.7836,0.5498,0.9585,0.0298,0.2069,0.0758,0.3124,0.2769,0.1561,0.4512,1,-1.78,0.0,0.0,0.2787,0.2547,0.628
chickpea,1.925,548.76,63.25,589.83,30.75,38.21,23.57,86.26,23.52,7.58,264.13,31.17,138.53,0.559,0.5875,0.3196,0.7245,0.1032,-0.1,-0.2628,0.0429,0.2599,0.1965,0.3446,3,12.48,3.21,0.0,0.3513,0.3041,1.207
rice,6.523,499.9,50.48,488.95,24.26,30.87,21.52,93.15,15.07,7.04,359.79,16.53,149.55,0.622,0.6365,0.4714,0.8051,0.0603,0.0086,-0.1026,0.0777,0.3864,0.2221,0.5455,3,-10.0,0.0,0.0,0.3648,0.3324,3.514
chickpea,8.753,728.78,75.54,662.4,26.57,33.79,18.71,82.3,9.01,7.21,216.35,19.17,180.32,0.861,0.6754,0.4429,0.8314,0.1043,0.0721,-0.0033,0.2129,0.3774,0.2819,0.5297,5,8.23,0.0,0.0,0.2478,0.0415,1.499
wheat,6.774,910.13,62.37,1132.8,26.56,34.42,23.81,68.57,10.56,6.46,293.54,34.74,205.23,0.74,0.7934,0.5689,0.9719,0.0782,-0.0685,-0.1455,0.0527,0.3645,0.231,0.4154,5,-0.27,0.0,0.0,0.1432,0.1766,4.847
wheat,0.844,433.74,55.09,434.94,25.19,30.78,15.93,63.3,16.52,7.7,230.12,33.51,83.25,0.524,0.8165,0.5343,0.9801,0.1312,-0.0544,-0.152,0.0496,0.4779,0.3476,0.6176,2,6.92,0.0,0.0,0.0519,0.1463,4.804
